This is Ipopt version 3.14.16, running with linear solver MUMPS 5.6.2.

Number of nonzeros in equality constraint Jacobian...:     1567
Number of nonzeros in inequality constraint Jacobian.:     6735
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     1268
                     variables with only lower bounds:        0
                variables with lower and upper bounds:     1266
                     variables with only upper bounds:        0
Total number of equality constraints.................:      704
Total number of inequality constraints...............:      648
        inequality constraints with only lower bounds:       51
   inequality constraints with lower and upper bounds:      597
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  3.3817780e-03 2.29e+02 1.00e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  3.3812698e-03 2.29e+02 7.34e+00  -4.2 8.09e+01    -  2.64e-05 2.20e-04h  1
   2  3.3810361e-03 2.29e+02 7.69e+00  -4.2 1.81e+01    -  4.39e-05 1.79e-04h  1
   3  3.3808938e-03 2.29e+02 7.71e+00  -4.2 1.93e+01    -  1.30e-04 1.36e-04h  1
   4  3.3804569e-03 2.28e+02 9.00e+00  -4.2 1.97e+01    -  3.31e-05 3.45e-04h  1
   5  3.3803834e-03 2.28e+02 3.26e+00  -4.2 7.54e+01    -  1.99e-04 3.67e-05h  1
   6  3.3804604e-03 2.28e+02 3.71e+00  -0.3 2.47e+02    -  3.26e-05 1.05e-05f  1
   7  3.3803691e-03 2.28e+02 5.83e+00  -4.2 1.01e+02    -  2.23e-04 3.25e-05h  1
   8  3.3786246e-03 2.28e+02 5.85e+00  -4.2 1.03e+02    -  1.69e-03 1.64e-03h  1
   9  3.3689797e-03 2.26e+02 3.63e+00  -4.2 1.04e+02    -  3.02e-03 9.10e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  3.3584934e-03 2.24e+02 4.38e+00  -4.2 1.04e+02    -  3.66e-03 1.00e-02h  1
  11  3.3503619e-03 2.22e+02 4.92e+00  -4.2 1.04e+02    -  6.36e-03 7.73e-03h  1
  12  3.3393601e-03 2.20e+02 6.07e+00  -4.2 1.04e+02    -  8.72e-03 1.04e-02h  1
  13  3.3264501e-03 2.17e+02 1.15e+01  -4.2 1.04e+02    -  4.88e-03 1.27e-02h  1
  14  3.3161061e-03 2.15e+02 8.13e+00  -4.3 1.03e+02    -  1.54e-02 1.07e-02h  1
  15  3.2933222e-03 2.09e+02 1.85e+01  -4.3 1.02e+02    -  7.68e-03 2.41e-02h  1
  16  3.2873488e-03 2.08e+02 1.86e+01  -4.3 9.90e+01    -  6.54e-03 6.89e-03h  1
  17  3.2807341e-03 2.06e+02 1.89e+01  -4.3 9.79e+01    -  7.51e-03 8.38e-03h  1
  18  3.2769602e-03 2.05e+02 1.90e+01  -4.3 9.56e+01    -  5.19e-03 5.59e-03h  1
  19  3.2718583e-03 2.03e+02 2.03e+01  -4.3 9.40e+01    -  5.37e-03 8.41e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  3.2685125e-03 2.02e+02 1.96e+01  -4.3 9.31e+01    -  7.16e-03 5.77e-03h  1
  21  3.2673085e-03 2.02e+02 1.93e+01  -4.3 9.25e+01    -  2.72e-03 2.17e-03h  1
  22  3.2614009e-03 2.00e+02 2.32e+01  -4.3 9.25e+01    -  1.64e-03 1.04e-02h  1
  23  3.2586881e-03 1.99e+02 2.34e+01  -4.3 9.14e+01    -  4.16e-03 4.83e-03h  1
  24  3.2544649e-03 1.97e+02 2.34e+01  -4.3 9.06e+01    -  7.28e-03 7.74e-03h  1
  25  3.2507235e-03 1.96e+02 2.36e+01  -4.3 8.91e+01    -  6.28e-03 6.89e-03h  1
  26  3.2493679e-03 1.95e+02 2.21e+01  -4.3 8.81e+01    -  5.74e-03 2.50e-03h  1
  27  3.2455418e-03 1.94e+02 2.11e+01  -4.3 8.74e+01    -  9.48e-03 6.40e-03h  1
  28  3.2422518e-03 1.93e+02 2.11e+01  -4.3 8.65e+01    -  5.05e-03 5.60e-03h  1
  29  3.2320196e-03 1.89e+02 2.34e+01  -4.3 8.61e+01    -  1.35e-02 2.02e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  3.2251101e-03 1.87e+02 2.59e+01  -4.3 8.35e+01    -  4.56e-03 1.26e-02h  1
  31  3.2238681e-03 1.86e+02 2.30e+01  -4.3 8.09e+01    -  1.23e-02 2.27e-03h  1
  32  3.2180552e-03 1.84e+02 2.76e+01  -4.3 8.12e+01    -  6.34e-04 1.30e-02h  1
  33  3.2124102e-03 1.81e+02 2.59e+01  -4.3 8.12e+01    -  1.64e-02 1.29e-02h  1
  34  3.2116174e-03 1.81e+02 2.33e+01  -4.3 7.97e+01    -  1.15e-02 1.46e-03h  1
  35  3.1926303e-03 1.75e+02 2.99e+01  -4.3 7.96e+01    -  1.35e-02 3.62e-02h  1
  36  3.1920702e-03 1.74e+02 2.52e+01  -4.3 7.63e+01    -  1.29e-02 1.07e-03h  1
  37  3.1919702e-03 1.74e+02 2.51e+01  -4.3 7.59e+01    -  1.62e-03 6.67e-04h  1
  38  3.1911597e-03 1.74e+02 2.52e+01  -4.3 7.57e+01    -  1.34e-03 3.12e-03h  1
  39  3.1912277e-03 1.73e+02 4.32e+01  -4.3 7.69e+01    -  1.15e-02 2.36e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  3.1905633e-03 1.73e+02 3.33e+01  -4.3 7.57e+01    -  2.05e-04 3.54e-03h  1
  41  3.1905657e-03 1.73e+02 1.30e+02  -4.3 7.62e+01    -  2.08e-02 1.59e-04h  1
  42  3.1948925e-03 1.67e+02 4.61e+01  -4.3 7.63e+01    -  1.58e-02 3.22e-02h  1
  43  3.1950513e-03 1.67e+02 6.27e+01  -4.4 7.33e+01    -  3.53e-03 4.79e-04h  1
  44  3.1962496e-03 1.66e+02 4.51e+01  -4.4 7.33e+01    -  2.66e-04 3.73e-03h  1
  45  3.1966324e-03 1.66e+02 8.60e+01  -4.4 7.96e+01    -  4.43e-03 6.93e-04h  1
  46  3.2007755e-03 1.65e+02 2.63e+01  -4.4 8.07e+01    -  1.22e-03 8.45e-03h  1
  47  3.2037622e-03 1.64e+02 5.72e+01  -4.4 8.04e+01    -  2.48e-03 6.69e-03h  1
  48  3.2053309e-03 1.64e+02 1.13e+02  -0.5 5.32e+02    -  3.99e-04 5.45e-05f  1
  49  3.2163645e-03 1.64e+02 3.60e+02  -0.5 9.90e+01    -  2.55e-04 6.88e-04f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  3.2231207e-03 1.61e+02 5.04e+02  -4.4 7.56e+01    -  3.29e-03 1.61e-02h  1
  51  3.2279025e-03 1.59e+02 5.37e+02  -4.4 7.59e+01    -  1.14e-02 1.46e-02h  1
  52  3.2376925e-03 1.56e+02 5.76e+02  -4.4 7.35e+01    -  1.03e-02 1.50e-02h  1
  53  3.2410943e-03 1.56e+02 1.30e+02  -4.4 7.04e+01    -  5.69e-03 2.76e-03h  1
  54  3.2714721e-03 1.50e+02 2.33e+02  -4.4 7.35e+01    -  2.01e-02 3.76e-02h  1
  55  3.2791710e-03 1.49e+02 1.18e+02  -4.4 7.10e+01    -  2.62e-02 8.43e-03h  1
  56  3.2808291e-03 1.49e+02 9.78e+01  -4.4 7.06e+01    -  1.12e-02 1.89e-03h  1
  57  3.3007162e-03 1.45e+02 1.14e+02  -4.4 7.11e+01    -  1.31e-02 2.09e-02h  1
  58  3.3163843e-03 1.43e+02 1.53e+02  -4.4 7.21e+01    -  6.80e-03 1.43e-02h  1
  59  3.3213644e-03 1.43e+02 1.01e+02  -4.4 7.14e+01    -  1.48e-02 5.46e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  3.3238386e-03 1.42e+02 3.35e+02  -4.4 6.43e+01    -  3.27e-03 1.44e-03h  1
  61  3.3270803e-03 1.42e+02 1.37e+03  -4.4 6.40e+01    -  6.77e-03 1.99e-03h  1
  62  3.3432804e-03 1.42e+02 1.23e+03  -0.5 7.16e+01    -  2.37e-03 2.87e-03f  1
  63  3.3567894e-03 1.41e+02 8.44e+03  -0.5 6.41e+01    -  4.33e-02 5.37e-03f  1
  64  3.3718946e-03 1.38e+02 1.40e+04  -4.4 6.33e+01    -  5.40e-02 1.73e-02h  1
  65  3.3996452e-03 1.32e+02 1.34e+04  -4.5 8.14e+01    -  5.36e-02 4.94e-02h  1
  66  3.4004801e-03 1.31e+02 1.42e+04  -4.5 9.04e+01    -  5.72e-02 5.22e-03h  1
  67  3.4109555e-03 1.25e+02 1.41e+04  -4.5 1.04e+02    -  6.54e-02 4.49e-02h  1
  68  3.4373249e-03 1.23e+02 1.64e+04  -4.5 1.70e+02    -  7.05e-02 1.84e-02h  1
  69  3.5250681e-03 1.18e+02 1.82e+04  -0.7 2.10e+02    -  7.30e-02 3.99e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  3.5851628e-03 1.13e+02 2.72e+04  -0.7 1.60e+02    -  2.33e-01 3.83e-02f  1
  71  3.7119446e-03 1.06e+02 2.54e+04  -0.6 1.64e+02    -  7.02e-02 6.82e-02f  1
  72  3.8288177e-03 9.86e+01 2.56e+04  -0.2 1.47e+02    -  1.09e-01 6.62e-02f  1
  73  3.9275163e-03 8.93e+01 2.48e+04   0.0 1.61e+02    -  1.44e-01 9.40e-02f  1
  74  4.2378802e-03 6.32e+01 1.79e+04  -0.7 1.54e+02    -  3.59e-01 2.93e-01h  1
  75  4.4337612e-03 5.44e+01 1.55e+04  -1.1 1.37e+02    -  2.39e-01 1.39e-01h  1
  76  4.7333743e-03 4.51e+01 1.28e+04  -0.7 1.31e+02    -  1.70e-01 1.71e-01h  1
  77  5.4204846e-03 3.30e+01 9.69e+03  -1.1 1.22e+02    -  2.07e-01 2.67e-01h  1
  78  5.7784028e-03 2.80e+01 7.18e+03  -0.4 1.70e+02    -  6.65e-01 1.53e-01f  1
  79  6.0652563e-03 2.43e+01 7.15e+03  -0.8 9.60e+01    -  4.85e-01 1.33e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  6.2214570e-03 2.28e+01 1.95e+04  -0.4 1.56e+02    -  5.66e-01 5.99e-02f  1
  81  7.3386704e-03 1.25e+01 1.24e+04  -0.7 1.71e+02    -  8.70e-01 4.51e-01h  1
  82  6.8942500e-03 3.41e+00 1.63e+04   0.1 6.68e+00    -  1.00e+00 7.28e-01f  1
  83  6.9843704e-03 9.69e-03 4.15e+02  -0.1 2.30e+00    -  1.00e+00 1.00e+00h  1
  84  6.9925252e-03 9.46e-03 1.91e+04   0.2 4.51e+01    -  1.00e+00 2.06e-02f  2
  85  6.9295861e-03 7.35e-01 2.08e+04   0.4 2.20e+02    -  7.44e-01 2.95e-01f  1
  86  8.0309676e-03 1.30e-01 9.03e+03  -0.1 1.50e+02    -  9.95e-01 7.53e-01H  1
  87  8.5523769e-03 9.32e-01 7.17e+03  -0.2 2.85e+01    -  1.00e+00 8.41e-01H  1
  88  8.5457668e-03 6.35e-03 9.03e+01  -0.2 5.11e-01    -  1.00e+00 1.00e+00f  1
  89  8.6505958e-03 5.90e-04 4.23e+03  -0.9 1.10e+00    -  9.28e-01 8.52e-01H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  8.6562186e-03 5.71e-04 2.54e+04  -1.1 1.26e+00    -  1.00e+00 6.56e-02h  4
  91  8.6630265e-03 5.62e-04 2.94e+04  -1.5 1.07e+00    -  1.00e+00 7.38e-02h  4
  92  8.6670971e-03 5.57e-04 3.66e+04  -1.6 1.09e+00    -  1.00e+00 4.42e-02h  5
  93  8.7164129e-03 4.68e-04 5.40e+03  -1.6 1.07e+00    -  2.39e-01 5.35e-01H  1
  94  8.7634038e-03 1.29e-03 1.49e+04  -1.8 9.43e-01    -  8.09e-01 5.97e-01H  1
  95  8.7641936e-03 1.29e-03 1.54e+04  -1.8 3.50e+01    -  9.28e-02 2.90e-04h  8
  96  8.7643916e-03 1.29e-03 1.37e+04  -1.8 2.20e+02    -  6.55e-02 6.22e-05h 10
  97  8.7664947e-03 1.29e-03 1.34e+04  -1.8 3.20e+02    -  1.74e-02 9.82e-04h  6
  98  8.7044046e-03 1.47e-02 1.37e+04  -0.1 5.18e+02    -  1.31e-01 1.93e-02f  1
  99  8.7393038e-03 8.19e-02 1.30e+04  -1.0 1.78e+02    -  1.82e-01 6.90e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  8.7912032e-03 2.89e-03 9.11e+03  -1.0 5.74e-01    -  3.84e-01 1.00e+00f  1
 101  8.8125488e-03 1.80e-03 1.12e+04  -1.0 5.35e-01    -  1.00e+00 5.79e-01h  1
 102  8.8148764e-03 1.80e-03 1.32e+04  -1.0 1.43e+02    -  2.63e-01 2.33e-03h  6
 103  8.8326408e-03 2.29e-03 1.54e+04  -1.0 1.19e+02    -  3.70e-01 1.49e-02f  5
 104  8.8371526e-03 2.36e-03 1.69e+04  -1.0 1.03e+02    -  3.98e-01 3.74e-03f  6
 105  8.8619937e-03 2.02e-03 6.22e+01  -1.0 4.90e-01    -  1.00e+00 1.00e+00h  1
 106  8.8774491e-03 1.66e-03 5.06e+01  -1.0 5.33e-01    -  1.00e+00 1.00e+00h  1
 107  8.8987920e-03 2.11e-03 4.06e+01  -1.4 5.04e-01    -  1.00e+00 1.00e+00h  1
 108  8.9111717e-03 3.12e-04 9.48e+03  -1.9 5.15e-01    -  9.49e-01 7.94e-01H  1
 109  8.9372534e-03 2.10e-02 9.10e+03  -7.9 7.77e+01    -  4.08e-02 4.08e-02s 18
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  8.9494940e-03 2.10e-02 8.99e+03  -2.0 4.37e+02    -  2.08e-02 2.77e-03h  4
 111  8.9673663e-03 2.23e-02 8.94e+03  -2.0 3.73e+02    -  5.13e-03 4.07e-03f  3
 112  8.9678444e-03 2.23e-02 8.87e+03  -2.0 3.25e+02    -  2.02e-02 1.18e-04h  8
 113  8.9702318e-03 1.69e-03 7.58e+02  -2.0 6.27e-01    -  1.00e+00 9.82e-01h  1
 114  8.9698436e-03 1.33e-03 3.06e+04  -2.0 6.79e-01    -  9.63e-01 2.50e-01h  3
 115  8.9694587e-03 1.38e-04 1.35e+02  -2.0 6.96e-01    -  1.00e+00 1.00e+00H  1
 116  8.9716644e-03 1.72e-04 1.41e+03  -2.3 7.61e-01    -  9.70e-01 9.86e-01H  1
 117  8.9721952e-03 1.47e-03 1.26e+04  -2.1 8.18e-01    -  1.00e+00 7.59e-01f  1
 118  8.9735373e-03 2.38e-04 8.15e+03  -2.2 8.04e-01    -  8.41e-01 7.74e-01H  1
