This is Ipopt version 3.14.16, running with linear solver MUMPS 5.6.2.

Number of nonzeros in equality constraint Jacobian...:     1567
Number of nonzeros in inequality constraint Jacobian.:     6735
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     1268
                     variables with only lower bounds:        0
                variables with lower and upper bounds:     1266
                     variables with only upper bounds:        0
Total number of equality constraints.................:      704
Total number of inequality constraints...............:      648
        inequality constraints with only lower bounds:       51
   inequality constraints with lower and upper bounds:      597
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 119  8.9739191e-03 2.29e-04 3.22e+04  -2.2 8.64e-01    -  7.07e-01 8.45e-02f  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  8.9742687e-03 2.20e-04 4.42e+04  -2.2 8.62e-01    -  1.00e+00 7.63e-02h  4
 121  8.9746560e-03 2.12e-04 4.41e+04  -2.2 8.65e-01    -  1.00e+00 7.98e-02h  4
 122  8.9786318e-03 2.70e-04 3.05e+04  -2.2 8.65e-01    -  1.00e+00 6.28e-01H  1
 123  8.9860752e-03 1.39e-04 3.01e+04  -2.2 8.84e-01    -  3.13e-01 6.89e-01H  1
 124  8.9873284e-03 1.37e-04 4.14e+04  -2.2 8.86e-01    -  1.00e+00 1.35e-01f  2
 125  8.9892701e-03 1.37e-04 3.86e+04  -2.6 8.81e-01    -  1.00e+00 1.93e-01h  3
 126  9.0162897e-03 1.61e-03 3.80e+04  -1.4 1.29e+02    -  7.32e-02 2.14e-02f  1
 127  9.0285852e-03 2.54e-03 3.77e+04  -2.4 2.13e+02    -  1.09e-03 1.06e-02f  3
 128  9.0330314e-03 3.13e-03 3.73e+04  -2.4 4.54e+02    -  1.23e-02 4.10e-03h  2
 129  9.0421431e-03 3.02e-03 1.11e+02  -2.4 8.40e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  9.0472180e-03 1.81e-03 1.64e+03  -2.4 8.19e-01    -  5.49e-01 5.80e-01h  1
 131r 9.0472180e-03 1.81e-03 1.00e+03  -2.4 0.00e+00    -  0.00e+00 4.18e-07R 16
 132r 9.0462937e-03 6.09e-04 4.14e+02  -1.8 1.52e-01    -  6.24e-01 6.87e-02f  1
 133r 9.0411296e-03 4.83e-04 3.48e+02  -2.1 5.79e-01    -  1.58e-01 1.30e-01f  1
 134r 8.9890103e-03 3.09e-03 9.08e+02  -2.1 6.79e-01    -  3.02e-01 7.14e-01f  1
 135r 8.9447481e-03 1.61e-02 1.56e+02  -2.1 1.87e+00    -  5.78e-01 8.60e-01f  1
 136r 8.9030209e-03 1.20e-02 8.32e+01  -2.1 2.45e+00    -  7.10e-01 4.31e-01f  1
 137r 8.8062817e-03 5.67e-02 1.14e+02  -2.1 4.02e+00    -  3.76e-01 1.00e+00f  1
 138r 8.7430718e-03 3.19e-03 1.81e+01  -2.1 2.24e+00    -  6.38e-01 1.00e+00f  1
 139r 8.6648243e-03 2.14e-02 3.62e+01  -2.1 2.41e+00    -  4.49e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140r 8.6375969e-03 5.91e-03 9.63e+00  -2.1 2.41e+00    -  9.31e-01 1.00e+00h  1
 141r 8.5954161e-03 1.38e-02 1.79e+00  -2.1 1.17e+00    -  1.00e+00 1.00e+00h  1
 142r 8.5939832e-03 1.90e-03 1.94e+00  -2.1 8.48e-01    -  1.00e+00 1.00e+00h  1
 143r 8.5660642e-03 1.53e-02 1.45e+00  -2.1 1.32e+00    -  1.00e+00 1.00e+00h  1
 144r 8.5781421e-03 1.16e-03 1.01e+00  -2.1 3.31e-01    -  1.00e+00 1.00e+00h  1
 145r 8.5773193e-03 9.13e-04 3.87e-01  -2.1 6.48e-01    -  1.00e+00 1.00e+00h  1
 146r 8.5835436e-03 9.11e-04 4.93e-02  -2.1 5.50e-01    -  1.00e+00 1.00e+00h  1
 147r 8.7188791e-03 1.48e-02 6.81e+00  -3.2 5.60e+00    -  7.48e-01 7.15e-01f  1
 148r 8.7514505e-03 5.37e-03 6.78e+01  -2.7 1.86e+00    -  1.00e+00 5.93e-01f  1
 149r 8.8446249e-03 8.37e-03 2.73e+01  -3.2 4.40e+00    -  1.00e+00 7.89e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150r 8.9261002e-03 1.16e-02 1.32e+01  -3.7 2.61e+00    -  1.00e+00 8.69e-01f  1
 151r 8.9471540e-03 9.49e-03 7.75e+00  -3.8 1.75e+00    -  1.00e+00 3.35e-01h  1
 152r 8.9806683e-03 1.17e-02 1.38e+01  -4.1 2.00e+00    -  1.00e+00 6.82e-01f  1
 153r 8.9966339e-03 8.45e-03 6.85e+00  -4.2 2.24e+00    -  1.00e+00 4.39e-01h  1
 154r 9.0198464e-03 9.99e-03 1.34e-01  -4.7 1.78e+00    -  1.00e+00 1.00e+00f  1
 155r 9.0300698e-03 3.32e-03 3.58e+00  -4.2 8.77e-01    -  5.65e-01 6.88e-01f  1
 156r 9.0364245e-03 2.21e-03 3.00e+00  -4.4 7.48e-01    -  1.00e+00 6.75e-01h  1
 157r 9.0487121e-03 2.94e-03 9.98e-02  -5.0 6.47e-01    -  1.00e+00 1.00e+00f  1
 158r 9.0525002e-03 1.79e-03 3.96e+01  -5.4 3.98e-01    -  1.00e+00 4.17e-01h  1
 159r 9.0935017e-03 8.10e-03 2.38e-01  -5.7 1.33e+00    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160r 9.1477098e-03 1.43e-02 8.90e-02  -6.0 2.07e+00    -  1.00e+00 1.00e+00h  1
 161r 9.2231633e-03 2.19e-02 8.92e-02  -5.5 2.35e+00    -  1.00e+00 1.00e+00h  1
 162r 9.2440054e-03 1.72e-03 5.98e-02  -5.6 9.70e-01    -  1.00e+00 1.00e+00h  1
 163r 9.2641686e-03 1.07e-03 8.42e-01  -5.6 1.12e+00    -  1.00e+00 8.58e-01h  1
 164r 9.2778364e-03 7.83e-04 1.45e+00  -6.0 1.02e+00    -  1.00e+00 9.80e-01h  1
 165r 9.3174685e-03 1.28e-03 3.29e+00  -5.7 2.30e+00    -  1.00e+00 9.46e-01h  1
 166r 9.3213257e-03 8.15e-04 2.27e+01  -5.8 1.35e+00    -  1.00e+00 3.20e-01h  1
 167r 9.3505820e-03 9.16e-04 6.32e+00  -5.8 2.42e+00    -  6.12e-01 7.14e-01f  1
 168r 9.3608494e-03 7.80e-04 4.37e+00  -5.8 2.15e+00    -  5.54e-01 3.34e-01f  1
 169r 9.3871581e-03 8.98e-04 7.77e-01  -5.8 1.96e+00    -  1.00e+00 8.35e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170r 9.4193198e-03 1.10e-03 5.33e-01  -5.8 2.20e+00    -  5.68e-01 9.79e-01f  1
 171r 9.4258413e-03 7.78e-04 2.56e+01  -9.0 1.21e+00    -  5.31e-01 3.16e-01h  1
 172r 9.4754860e-03 2.60e-03 7.20e+01  -4.0 5.60e+02    -  7.38e-04 4.35e-03f  1
 173r 9.4602619e-03 2.16e-03 5.78e+01  -6.1 3.85e+00    -  1.17e-02 2.10e-01h  1
 174r 9.4635538e-03 2.09e-03 5.41e+01  -6.1 5.91e+00    -  2.00e-01 7.04e-02f  1
 175r 9.4654121e-03 1.98e-03 5.14e+01  -6.1 2.48e+00    -  1.13e-01 5.22e-02f  1
 176r 9.4677442e-03 1.69e-03 4.40e+01  -6.1 2.67e+00    -  1.64e-01 1.45e-01f  1
 177r 9.5144867e-03 2.08e-03 1.33e+01  -6.1 4.39e+00    -  3.15e-01 6.83e-01f  1
 178r 9.5160190e-03 1.83e-03 1.18e+01  -6.1 9.06e-01    -  9.59e-02 1.13e-01f  1
 179r 9.5190321e-03 1.75e-03 1.16e+01  -6.1 5.28e+00    -  4.85e-01 5.14e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180r 9.5548068e-03 7.61e-03 6.86e-02  -6.1 2.93e+00    -  1.00e+00 1.00e+00f  1
 181r 9.5690211e-03 6.14e-03 1.73e+00  -6.1 3.34e+00    -  7.77e-01 2.72e-01h  1
 182r 9.6265970e-03 1.26e-02 4.13e-01  -6.1 3.94e+00    -  3.18e-01 1.00e+00f  1
 183r 9.6375023e-03 1.16e-02 2.12e+02  -5.4 3.41e+00    -  1.00e+00 2.30e-01h  1
 184r 9.6274125e-03 8.87e-03 1.74e+02  -5.6 1.12e+00    -  1.74e-01 2.32e-01h  1
 185r 9.6195869e-03 4.80e-03 5.97e+01  -5.6 1.17e+00    -  7.03e-01 3.58e-01f  1
 186r 9.6039994e-03 2.29e-03 3.78e+01  -5.6 1.92e+00    -  2.33e-01 5.19e-01f  1
 187r 9.5804569e-03 2.26e-03 6.98e-02  -5.6 1.01e+00    -  1.00e+00 1.00e+00f  1
 188r 9.5741509e-03 7.71e-04 1.56e-02  -5.6 5.99e-01    -  1.00e+00 7.98e-01h  1
 189r 9.5633435e-03 7.71e-04 1.94e-02  -6.4 6.64e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190r 9.6430142e-03 1.41e-02 2.47e+02  -5.3 5.83e+00    -  1.00e+00 5.07e-01f  1
 191r 9.6229427e-03 9.07e-03 1.12e+02  -5.5 2.09e+00    -  1.00e+00 4.01e-01h  1
 192r 9.6114809e-03 5.89e-03 5.68e+00  -5.5 1.08e+00    -  1.00e+00 3.82e-01f  1
 193r 9.5838254e-03 1.67e-03 3.55e-02  -5.5 9.85e-01    -  1.00e+00 1.00e+00f  1
 194r 9.5674835e-03 1.31e-03 4.20e-01  -5.5 8.95e-01    -  1.00e+00 6.55e-01h  1
 195r 9.5521162e-03 7.71e-04 1.54e-02  -5.5 7.03e-01    -  1.00e+00 1.00e+00f  1
 196r 9.5371976e-03 7.72e-04 2.93e-02  -5.5 7.08e-01    -  1.00e+00 1.00e+00h  1
 197r 9.5234861e-03 7.72e-04 1.80e-02  -5.5 6.87e-01    -  1.00e+00 1.00e+00h  1
 198r 9.5136647e-03 7.73e-04 1.45e-02  -5.5 5.21e-01    -  1.00e+00 1.00e+00h  1
 199r 9.4955808e-03 8.17e-04 2.84e-02  -6.2 7.95e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 200r 9.5372200e-03 3.23e-03 4.30e+00  -6.3 4.71e+00    -  4.63e-01 4.20e-01h  1
 201r 9.6402192e-03 1.82e-02 2.36e+00  -6.3 6.87e+00    -  7.99e-01 7.68e-01f  1
 202r 9.6633660e-03 1.48e-02 6.75e+00  -9.0 4.58e+00    -  7.59e-02 2.24e-01h  1
 203r 9.8466259e-03 5.33e-02 8.91e+00  -6.4 1.18e+01    -  2.10e-01 6.84e-01h  1
 204r 9.8814612e-03 4.35e-02 9.23e+00  -6.4 9.41e+00    -  6.24e-02 1.97e-01h  1
 205r 9.8991417e-03 3.68e-02 8.90e+00  -6.4 1.25e+01    -  5.69e-02 9.52e-02f  1
 206r 9.8999293e-03 3.66e-02 5.03e+00  -6.4 1.22e+01    -  2.86e-01 3.46e-03h  1
 207r 9.9995641e-03 2.77e-02 6.21e+00  -6.4 1.34e+01    -  5.62e-02 3.69e-01f  1
 208r 1.0000029e-02 2.76e-02 6.10e+00  -9.0 9.53e+00    -  4.97e-03 2.73e-03h  1
 209r 1.0000045e-02 2.76e-02 6.44e+00  -8.0 1.58e+01    -  1.16e-01 4.38e-05h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 210r 1.0030435e-02 2.82e-02 5.99e+00  -6.5 9.10e+01    -  4.95e-04 1.36e-02h  1
 211r 1.0031774e-02 2.80e-02 5.58e+00  -9.0 7.97e+00    -  4.93e-02 7.58e-03h  1
 212r 1.0045841e-02 2.68e-02 5.49e+00  -9.0 1.49e+01    -  2.76e-02 4.07e-02h  1
 213r 1.0049986e-02 2.65e-02 5.58e+00  -6.2 1.76e+01    -  2.10e-01 1.10e-02h  1
 214r 1.0049950e-02 2.50e-02 4.99e+00  -6.5 1.17e-02    -  7.79e-02 5.70e-02h  1
