This is Ipopt version 3.14.5, running with linear solver ma57.

Number of nonzeros in equality constraint Jacobian...:     1567
Number of nonzeros in inequality constraint Jacobian.:     6735
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     1268
                     variables with only lower bounds:        0
                variables with lower and upper bounds:     1266
                     variables with only upper bounds:        0
Total number of equality constraints.................:      704
Total number of inequality constraints...............:      648
        inequality constraints with only lower bounds:       51
   inequality constraints with lower and upper bounds:      597
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  48  1.6034640e-02 2.20e+02 1.93e+06   1.7 7.64e+01    -  1.61e-01 7.60e-02w  1
  49  1.6518113e-02 1.74e+02 2.38e+06   1.7 6.37e+01    -  2.22e-01 2.01e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  1.5773323e-02 1.53e+02 2.17e+06   1.7 1.47e+02    -  1.43e-01 1.58e-01h  1
  51  1.6088083e-02 1.24e+02 2.00e+06   1.7 6.36e+01    -  2.92e-01 2.38e-01h  1
  52  1.6300082e-02 9.93e+01 1.86e+06   1.7 5.52e+01    -  1.18e-01 2.17e-01h  1
  53  1.6666869e-02 8.08e+01 1.76e+06   1.7 5.52e+01    -  9.80e-02 1.89e-01f  1
  54  1.6866067e-02 6.21e+01 1.81e+06   1.7 6.50e+01    -  2.08e-01 2.34e-01f  1
  55  1.7185132e-02 5.23e+01 1.97e+06   1.7 9.89e+01    -  2.44e-01 1.35e-01f  1
  56  1.6752040e-02 4.74e+01 2.18e+06   1.7 1.47e+02    -  1.71e-02 6.95e-02f  1
  57  1.6207280e-02 4.05e+01 2.31e+06   1.7 1.15e+02    -  2.09e-01 1.04e-01h  1
  58  1.6101604e-02 3.85e+01 2.25e+06   1.7 8.53e+01    -  5.96e-02 4.85e-02h  1
  59  1.5981494e-02 3.74e+01 2.23e+06   1.7 9.60e+01    -  1.00e-01 2.75e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  1.5364849e-02 4.25e+01 2.04e+06   1.7 9.55e+01    -  5.60e-02 2.65e-01f  1
  61  1.4644105e-02 3.58e+01 1.78e+06   1.7 9.86e+01    -  1.02e-01 2.59e-01f  1
  62  1.4300305e-02 2.71e+01 1.72e+06   1.7 9.47e+01    -  1.36e-01 3.07e-01h  1
  63  1.4237329e-02 2.64e+01 1.73e+06   1.7 8.20e+01    -  1.65e-01 2.64e-02h  1
  64  1.3507796e-02 2.14e+01 1.97e+06   1.7 9.13e+01    -  5.12e-02 2.02e-01h  1
  65  1.3304534e-02 2.02e+01 1.97e+06   1.7 9.33e+01    -  2.89e-01 6.00e-02f  1
  66  1.2731718e-02 1.76e+01 1.92e+06   1.7 8.59e+01    -  5.37e-02 1.35e-01f  1
  67  1.2004890e-02 1.46e+01 1.88e+06   1.7 7.57e+01    -  1.13e-01 2.02e-01f  1
  68  1.1671167e-02 1.23e+01 1.80e+06   1.7 6.09e+01    -  3.93e-01 2.12e-01h  1
  69  1.1552775e-02 1.02e+01 1.38e+06   1.7 4.22e+01    -  3.89e-01 2.22e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  1.1500717e-02 9.29e+00 1.24e+06   1.7 4.87e+01    -  2.26e-01 1.48e-01f  1
  71  1.1204164e-02 8.01e+00 9.68e+05   1.0 4.12e+01    -  1.56e-01 3.06e-01h  1
  72  1.0755633e-02 6.32e+00 7.40e+05   1.0 3.34e+01    -  4.99e-01 3.08e-01h  1
  73  9.8119655e-03 5.94e+00 2.66e+05   2.2 4.08e+01    -  6.55e-01 5.43e-01f  1
  74  9.2831593e-03 1.41e+01 5.50e+05   2.3 5.13e+01    -  4.06e-01 7.85e-01f  1
  75  9.7369318e-03 4.06e+00 5.08e+05   2.1 3.50e+01    -  3.29e-01 6.49e-01H  1
  76  8.9151035e-03 9.82e+00 2.76e+06   2.4 4.64e+01    -  5.55e-01 8.60e-01f  1
  77  9.0592166e-03 2.85e+00 1.54e+06   2.2 4.24e+01    -  8.85e-01 6.44e-01h  1
  78  9.1174761e-03 2.65e+00 1.28e+06  -3.8 1.03e+02    -  3.63e-01 8.99e-02h  1
  79  9.3390780e-03 1.80e+00 2.48e+06   2.5 7.96e+01    -  7.13e-01 3.67e-01H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  1.0257145e-02 8.37e+00 1.59e+06   3.1 3.29e+02    -  4.39e-01 4.37e-01f  1
  81  1.0555555e-02 5.73e+00 2.02e+06   2.8 5.46e+01    -  7.38e-01 1.72e-01h  2
  82  1.0861430e-02 3.59e+00 3.11e+06   2.1 3.83e+01    -  3.91e-01 4.51e-01H  1
  83  1.1392975e-02 2.78e+00 4.45e+06   1.4 4.31e+01    -  3.58e-01 2.70e-01H  1
  84  1.1398449e-02 2.75e+00 4.69e+06   1.4 7.01e+01    -  4.56e-01 1.57e-02h  4
  85  1.1387113e-02 2.73e+00 4.95e+06   1.4 7.19e+01    -  3.93e-01 1.71e-02h  5
  86  1.1368248e-02 2.71e+00 5.18e+06   1.4 7.47e+01    -  4.03e-01 1.49e-02h  6
  87  1.1340704e-02 2.69e+00 5.48e+06   1.4 7.53e+01    -  5.36e-01 1.78e-02h  6
  88  1.1321765e-02 2.68e+00 5.65e+06   1.4 7.45e+01    -  3.34e-01 9.14e-03h  7
  89  1.1300263e-02 2.66e+00 5.82e+06   1.4 7.43e+01    -  5.25e-01 8.87e-03h  7
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  1.1276891e-02 2.64e+00 5.99e+06   1.4 7.23e+01    -  3.46e-01 8.67e-03h  7
  91  1.1255580e-02 2.63e+00 6.16e+06   1.4 6.96e+01    -  1.93e-01 8.30e-03h  7
  92  1.1231164e-02 2.62e+00 6.34e+06   1.4 7.09e+01    -  5.43e-01 8.13e-03h  7
  93  1.1209382e-02 2.60e+00 6.52e+06   1.4 7.16e+01    -  2.68e-01 8.12e-03h  7
  94  1.0792282e-02 3.21e+02 4.04e+07   1.4 7.23e+01    -  4.58e-01 5.22e-01w  1
  95  1.0708531e-02 2.96e+02 4.44e+07   1.4 1.62e+02    -  1.02e-01 5.72e-02w  1
  96  1.0712950e-02 2.92e+02 4.37e+07   1.4 5.78e+01    -  2.03e-01 1.42e-02w  1
  97  1.1184151e-02 2.59e+00 6.70e+06   1.4 4.10e+01    -  4.58e-01 8.16e-03h  6
  98  1.1178250e-02 2.29e+00 6.39e+06   1.4 5.72e+00    -  8.87e-01 1.18e-01h  1
  99  1.1160929e-02 2.28e+00 6.53e+06   1.4 1.07e+02    -  1.37e-01 4.48e-03h  7
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  1.1082005e-02 2.32e+00 7.23e+06   1.4 1.03e+02    -  1.56e-01 1.81e-02f  5
 101  1.1059882e-02 2.32e+00 7.39e+06   1.4 1.08e+02    -  1.79e-01 4.32e-03h  7
 102  1.1049174e-02 2.31e+00 7.48e+06   1.4 1.05e+02    -  4.97e-02 2.26e-03h  8
 103  1.1000358e-02 2.31e+00 7.86e+06   1.4 1.05e+02    -  1.30e-01 9.27e-03f  6
 104  1.0989123e-02 2.31e+00 7.96e+06   1.4 1.04e+02    -  6.49e-02 2.36e-03h  8
 105  1.0964384e-02 2.30e+00 8.16e+06   1.4 1.02e+02    -  4.65e-01 4.91e-03f  7
 106  1.0950948e-02 2.29e+00 8.28e+06   1.4 9.43e+01    -  1.05e-01 3.21e-03h  8
 107  1.0935446e-02 2.29e+00 8.41e+06   1.4 9.24e+01    -  1.76e-01 3.43e-03h  8
 108  1.0931439e-02 2.28e+00 8.44e+06   1.4 9.03e+01    -  1.14e-01 9.46e-04h 10
 109  1.0143027e-02 6.22e+02 6.07e+07   1.4 8.87e+01    -  1.32e-01 5.17e-01w  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  1.0122227e-02 5.75e+02 6.36e+07   1.4 1.42e+02    -  8.22e-02 5.43e-02w  1
 111  1.0158261e-02 5.57e+02 6.54e+07   1.4 1.34e+02    -  1.33e-01 2.61e-02w  1
 112  1.0929263e-02 2.28e+00 8.46e+06   1.4 1.58e+01    -  1.32e-01 5.05e-04h 10
 113  1.0880879e-02 1.88e+00 7.70e+06   1.4 8.02e+00    -  1.00e+00 1.79e-01h  1
 114  1.0816555e-02 1.39e+00 6.97e+06   1.4 8.35e+00    -  3.75e-01 2.60e-01h  1
 115  1.0784497e-02 1.51e+00 7.55e+06   1.4 1.32e+02    -  6.90e-02 1.02e-02f  5
 116  1.0751816e-02 1.88e+00 8.30e+06   1.4 1.30e+02    -  1.40e-02 1.07e-02f  5
 117  1.0739859e-02 1.97e+00 8.71e+06   1.4 1.19e+02    -  8.20e-02 5.44e-03f  6
 118  1.0728708e-02 2.05e+00 9.09e+06   1.4 1.07e+02    -  1.34e-02 5.28e-03f  6
 119  1.0720589e-02 2.06e+00 9.26e+06   1.4 1.24e+02    -  4.23e-02 2.19e-03f  6
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  1.0714913e-02 2.09e+00 9.51e+06   1.4 9.83e+01    -  5.25e-02 3.33e-03f  7
 121  1.0633862e-02 5.63e+00 1.23e+07   1.4 9.95e+01    -  8.78e-02 3.29e-02f  3
 122  1.0633412e-02 5.63e+00 1.24e+07   1.4 6.80e+01    -  1.14e-01 1.83e-03h  8
 123  1.0632407e-02 5.63e+00 1.26e+07   1.4 6.35e+01    -  2.07e-01 2.06e-03h  8
 124  1.0631398e-02 5.62e+00 1.27e+07   1.4 5.99e+01    -  1.34e-01 2.29e-03h  8
 125  1.0730247e-02 3.65e+02 5.09e+07   1.4 6.09e+01    -  2.82e-01 3.14e-01w  1
 126  1.0980183e-02 3.24e+02 5.74e+07   1.4 1.33e+02    -  1.16e-01 9.42e-02w  1
 127  1.1013900e-02 3.15e+02 5.76e+07   1.4 1.28e+02    -  3.85e-02 2.42e-02w  1
 128  1.0615250e-02 6.28e+00 1.40e+07   1.4 9.03e+01    -  2.82e-01 1.96e-02f  4
 129  1.0586294e-02 3.64e+00 1.03e+07   1.4 2.93e+01    -  4.50e-01 4.73e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  1.0740170e-02 2.85e+00 9.66e+06   1.4 1.96e+01    -  2.20e-01 1.94e-01h  1
 131  1.0746428e-02 3.26e+00 1.03e+07   1.4 1.11e+02    -  2.77e-02 8.50e-03f  5
 132  1.0747864e-02 3.35e+00 1.06e+07   1.4 1.13e+02    -  2.55e-02 4.12e-03f  6
 133  1.0747733e-02 3.37e+00 1.07e+07   1.4 1.14e+02    -  2.34e-02 1.69e-03f  7
 134  1.0747394e-02 3.38e+00 1.08e+07   1.4 1.14e+02    -  4.18e-02 1.72e-03f  7
 135  1.0747424e-02 3.38e+00 1.09e+07   1.4 1.11e+02    -  2.82e-02 9.00e-04f  8
 136  1.0748512e-02 4.87e+00 1.20e+07   1.4 1.11e+02    -  4.97e-02 1.54e-02f  4
 137  1.0748839e-02 4.86e+00 1.21e+07   1.4 1.09e+02    -  5.19e-02 4.81e-04h  9
 138  1.0751881e-02 4.97e+00 1.24e+07   1.4 1.07e+02    -  1.00e-01 4.58e-03f  6
 139  1.0764057e-02 5.79e+00 1.33e+07   1.4 1.03e+02    -  6.07e-02 1.20e-02f  5
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140  1.0773378e-02 6.05e+00 1.38e+07   1.4 1.01e+02    -  1.33e-01 6.92e-03f  6
 141  1.1569984e-02 5.86e+02 4.17e+07   1.4 9.66e+01    -  1.02e-01 2.13e-01w  1
 142  1.1628749e-02 5.69e+02 4.15e+07   1.4 1.79e+02    -  1.15e-01 2.69e-02w  1
 143  1.1767417e-02 5.23e+02 3.99e+07   1.4 1.52e+02    -  1.81e-01 7.34e-02w  1
 144  1.0824138e-02 1.13e+01 1.59e+07   1.4 1.29e+02    -  1.02e-01 2.66e-02f  3
 145  1.0827293e-02 1.13e+01 1.60e+07   1.4 1.05e+02    -  2.00e-01 1.23e-03h  8
 146  1.0831708e-02 1.13e+01 1.61e+07   1.4 9.78e+01    -  1.76e-01 1.73e-03h  8
 147  1.0836720e-02 1.13e+01 1.62e+07   1.4 9.25e+01    -  2.66e-01 1.98e-03h  8
 148  1.0842810e-02 1.13e+01 1.64e+07   1.4 8.50e+01    -  1.75e-01 2.41e-03h  8
 149  1.0849728e-02 1.13e+01 1.65e+07   1.4 8.03e+01    -  4.15e-01 2.77e-03h  8
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  1.0859236e-02 1.13e+01 1.67e+07   1.4 7.04e+01    -  1.73e-01 3.77e-03h  8
 151  1.0869564e-02 1.13e+01 1.69e+07   1.4 6.70e+01    -  7.37e-01 4.12e-03h  8
 152  1.0880730e-02 1.13e+01 1.70e+07   1.4 6.54e+01    -  1.86e-01 4.14e-03h  8
 153  1.0885991e-02 1.13e+01 1.70e+07   1.4 6.28e+01    -  6.70e-01 2.06e-03h  9
 154  1.3376326e-02 9.32e+02 3.42e+07   1.4 6.44e+01    -  2.23e-01 5.54e-01w  1
 155  1.3001611e-02 8.71e+02 3.15e+07   1.4 1.46e+02    -  5.47e-02 5.90e-02w  1
 156  1.2583121e-02 8.01e+02 2.78e+07   1.4 1.62e+02    -  8.77e-02 7.29e-02w  1
 157  1.0891817e-02 1.12e+01 1.71e+07   1.4 1.82e+02    -  2.23e-01 2.16e-03h  8
 158  1.0892169e-02 1.12e+01 1.71e+07   1.4 6.28e+01    -  6.79e-01 1.38e-04h 13
 159  1.0892572e-02 1.12e+01 1.71e+07   1.4 6.38e+01    -  2.42e-01 1.52e-04h 13
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160r 1.0892572e-02 1.12e+01 1.00e+03   1.4 0.00e+00    -  0.00e+00 3.06e-07R 22
 161r 1.0891459e-02 2.39e+00 1.44e+03  -4.6 5.37e+03    -  6.36e-02 2.07e-03f  1
 162  1.0892212e-02 2.39e+00 5.26e+03   1.4 8.28e+02    -  1.94e-03 2.71e-06f  2
 163  1.0898830e-02 2.38e+00 1.19e+04   1.4 1.43e+03    -  1.69e-02 5.96e-03f  1
 164  1.0911603e-02 3.06e+00 5.34e+04   1.4 2.09e+02    -  2.16e-01 3.97e-02f  1
 165  1.2012010e-02 2.82e+01 6.91e+04   1.4 1.09e+02    -  4.16e-01 2.38e-01f  1
 166  1.2402491e-02 2.66e+01 1.12e+05   0.7 9.01e+01    -  3.12e-01 7.92e-02h  1
 167  1.3281832e-02 2.60e+01 1.32e+05   0.7 1.56e+02    -  3.22e-01 1.18e-01h  2
