This is Ipopt version 3.14.16, running with linear solver MUMPS 5.6.2.

Number of nonzeros in equality constraint Jacobian...:     1567
Number of nonzeros in inequality constraint Jacobian.:     6735
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     1268
                     variables with only lower bounds:        0
                variables with lower and upper bounds:     1266
                     variables with only upper bounds:        0
Total number of equality constraints.................:      704
Total number of inequality constraints...............:      648
        inequality constraints with only lower bounds:       51
   inequality constraints with lower and upper bounds:      597
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  13  4.9239613e-03 1.96e+02 3.02e+01  -4.3 9.58e+01    -  3.63e-03 1.25e-02h  1
  14  4.9008169e-03 1.94e+02 3.81e+01  -4.3 9.44e+01    -  3.02e-03 1.39e-02h  1
  15  4.8886223e-03 1.92e+02 4.02e+01  -4.3 9.36e+01    -  4.53e-03 7.82e-03h  1
  16  4.8833830e-03 1.91e+02 3.93e+01  -4.3 9.23e+01    -  4.91e-03 3.97e-03h  1
  17  4.8703038e-03 1.89e+02 4.47e+01  -4.3 9.18e+01    -  1.90e-03 1.02e-02h  1
  18  4.8593690e-03 1.88e+02 4.80e+01  -4.3 9.13e+01    -  3.33e-03 8.79e-03h  1
  19  4.8522069e-03 1.87e+02 4.95e+01  -4.3 9.04e+01    -  3.22e-03 6.02e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  4.8418052e-03 1.85e+02 5.15e+01  -4.3 9.00e+01    -  4.98e-03 8.72e-03h  1
  21  4.8340697e-03 1.84e+02 4.98e+01  -4.3 8.91e+01    -  8.92e-03 6.84e-03h  1
  22  4.8186905e-03 1.81e+02 5.55e+01  -4.3 8.81e+01    -  3.40e-03 1.40e-02h  1
  23  4.8060627e-03 1.79e+02 5.70e+01  -4.3 8.70e+01    -  7.99e-03 1.19e-02h  1
  24  4.7912547e-03 1.76e+02 6.37e+01  -4.3 8.60e+01    -  8.04e-04 1.42e-02h  1
  25  4.7867380e-03 1.76e+02 6.41e+01  -4.3 8.49e+01    -  3.21e-03 4.56e-03h  1
  26  4.7755668e-03 1.74e+02 6.34e+01  -4.3 8.45e+01    -  1.14e-02 1.14e-02h  1
  27  4.7686751e-03 1.72e+02 6.41e+01  -4.3 8.37e+01    -  4.94e-03 7.37e-03h  1
  28  4.7607236e-03 1.71e+02 5.94e+01  -4.3 8.32e+01    -  1.76e-02 8.68e-03h  1
  29  4.7414289e-03 1.67e+02 5.67e+01  -4.3 8.26e+01    -  2.53e-02 2.21e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  4.7289764e-03 1.64e+02 5.71e+01  -4.3 8.10e+01    -  1.19e-02 1.53e-02h  1
  31  4.7159572e-03 1.62e+02 5.95e+01  -4.3 7.98e+01    -  7.09e-03 1.72e-02h  1
  32  4.7127023e-03 1.61e+02 5.64e+01  -4.3 7.86e+01    -  1.39e-02 4.71e-03h  1
  33  4.7056816e-03 1.59e+02 5.43e+01  -4.3 7.85e+01    -  1.52e-02 1.02e-02h  1
  34  4.7048780e-03 1.59e+02 5.32e+01  -4.3 7.86e+01    -  4.66e-03 1.13e-03h  1
  35  4.6983121e-03 1.58e+02 5.49e+01  -4.3 7.88e+01    -  1.77e-03 9.51e-03h  1
  36  4.6974960e-03 1.57e+02 5.40e+01  -4.3 7.79e+01    -  4.44e-03 1.23e-03h  1
  37  4.6847785e-03 1.54e+02 5.54e+01  -4.3 7.77e+01    -  1.02e-02 1.98e-02h  1
  38  4.6820899e-03 1.54e+02 5.36e+01  -4.3 7.74e+01    -  1.07e-02 4.48e-03h  1
  39  4.6795235e-03 1.53e+02 5.36e+01  -4.3 7.69e+01    -  4.08e-03 5.02e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  4.6781223e-03 1.52e+02 5.39e+01  -4.3 7.58e+01    -  3.62e-04 2.52e-03h  1
  41  4.6779822e-03 1.52e+02 5.21e+01  -4.3 7.62e+01    -  9.55e-03 2.98e-04h  1
  42  4.6750254e-03 1.51e+02 5.09e+01  -4.3 7.64e+01    -  1.15e-02 6.76e-03h  1
  43  4.6748158e-03 1.51e+02 5.02e+01  -4.3 7.65e+01    -  4.05e-03 5.72e-04h  1
  44  4.6693880e-03 1.49e+02 5.24e+01  -4.4 7.67e+01    -  9.99e-05 1.61e-02h  1
  45  4.6672978e-03 1.48e+02 5.15e+01  -4.4 7.61e+01    -  1.05e-02 7.65e-03h  1
  46  4.6672411e-03 1.48e+02 4.93e+01  -4.4 7.62e+01    -  1.25e-02 2.27e-04h  1
  47  4.6659674e-03 1.47e+02 4.96e+01  -4.4 7.64e+01    -  1.18e-03 4.18e-03h  1
  48  4.6659403e-03 1.47e+02 5.37e+01  -4.4 7.63e+01    -  5.72e-03 1.19e-04h  1
  49  4.6636060e-03 1.45e+02 5.01e+01  -4.4 7.63e+01    -  3.00e-03 1.15e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  4.6634234e-03 1.45e+02 5.05e+01  -4.4 7.62e+01    -  5.64e-04 3.99e-03h  1
  51  4.6633404e-03 1.45e+02 4.97e+01  -4.4 7.60e+01    -  3.65e-03 6.72e-04h  1
  52  4.6631431e-03 1.44e+02 5.03e+01  -4.4 7.56e+01    -  3.21e-04 6.68e-03h  1
  53  4.6632339e-03 1.43e+02 4.94e+01  -4.4 7.60e+01    -  1.17e-02 4.52e-03h  1
  54  4.6637075e-03 1.43e+02 4.83e+01  -0.5 1.01e+03    -  3.48e-04 6.77e-05f  1
  55  4.6641218e-03 1.43e+02 8.58e+01  -4.4 7.45e+01    -  1.26e-02 1.50e-03h  1
  56  4.6651908e-03 1.41e+02 4.51e+01  -4.4 7.61e+01    -  4.01e-04 1.07e-02h  1
  57  4.6654952e-03 1.41e+02 4.47e+01  -4.4 7.55e+01    -  4.75e-03 1.85e-03h  1
  58  4.6654807e-03 1.41e+02 1.88e+02  -4.4 8.63e+01    -  7.12e-03 4.27e-05h  1
  59  4.6612444e-03 1.40e+02 7.23e+01  -4.4 1.05e+02    -  3.82e-03 6.99e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  4.6642012e-03 1.40e+02 6.73e+01  -0.5 1.41e+02    -  1.09e-03 1.80e-04f  1
  61  4.6597710e-03 1.39e+02 4.86e+01  -4.4 9.96e+01    -  4.92e-03 7.20e-03h  1
  62  4.6556560e-03 1.37e+02 3.61e+02  -4.4 1.06e+02    -  3.16e-03 1.14e-02h  1
  63  4.6566258e-03 1.36e+02 6.02e+02  -4.4 1.04e+02    -  4.24e-03 1.02e-02h  1
  64  4.6575432e-03 1.36e+02 5.80e+02  -4.4 9.55e+01    -  3.73e-03 3.20e-03h  1
  65  4.6581081e-03 1.35e+02 1.27e+02  -4.4 6.74e+01    -  1.28e-03 3.07e-04h  1
  66  4.6605024e-03 1.35e+02 5.58e+02  -4.4 6.74e+01    -  2.46e-04 1.30e-03h  1
  67  4.6609868e-03 1.35e+02 3.03e+02  -4.4 6.80e+01    -  2.15e-03 2.35e-04h  1
  68  4.6668032e-03 1.35e+02 6.34e+02  -4.4 6.89e+01    -  5.65e-04 2.67e-03h  1
  69  4.6699823e-03 1.35e+02 1.06e+03  -4.4 6.99e+01    -  5.36e-04 1.46e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  4.6705769e-03 1.35e+02 3.70e+02  -4.4 6.98e+01    -  1.40e-03 2.13e-04h  1
  71  4.6706043e-03 1.35e+02 7.68e+01  -4.4 7.00e+01    -  5.29e-04 1.06e-05h  1
  72  4.6751217e-03 1.34e+02 3.40e+02  -4.4 7.01e+01    -  1.37e-03 1.82e-03h  1
  73  4.6766691e-03 1.34e+02 7.46e+02  -4.4 7.04e+01    -  2.07e-04 7.87e-04h  1
  74  4.6782065e-03 1.34e+02 8.22e+02  -0.5 7.30e+02    -  2.77e-05 2.04e-05f  1
  75  4.6782116e-03 1.34e+02 3.37e+02  -4.4 1.05e+02    -  1.12e-02 1.05e-04h  1
  76  4.6807895e-03 1.33e+02 8.25e+02  -4.4 1.14e+02    -  3.79e-04 1.01e-02h  1
  77  4.6828848e-03 1.32e+02 5.74e+02  -4.4 1.27e+02    -  7.84e-03 4.38e-03h  1
  78  4.6896726e-03 1.32e+02 9.14e+02  -4.4 1.52e+02    -  2.26e-03 5.85e-03h  1
  79  4.6906768e-03 1.32e+02 6.39e+02  -4.4 1.73e+02    -  3.09e-03 6.40e-04h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  4.6910461e-03 1.31e+02 5.96e+02  -4.4 1.63e+02    -  6.63e-04 2.56e-04h  1
  81  4.6961129e-03 1.31e+02 9.45e+02  -4.4 1.64e+02    -  1.33e-04 3.49e-03h  1
  82  4.7021982e-03 1.31e+02 1.24e+03  -4.4 1.72e+02    -  3.69e-04 3.15e-03h  1
  83  4.7147771e-03 1.30e+02 1.64e+03  -4.4 1.72e+02    -  2.96e-03 6.69e-03h  1
  84  4.7148361e-03 1.30e+02 1.17e+03  -4.4 1.75e+02    -  4.34e-03 4.30e-05h  1
  85  4.7188367e-03 1.29e+02 1.35e+03  -4.4 1.70e+02    -  1.61e-03 3.35e-03h  1
  86  4.7379816e-03 1.28e+02 2.40e+03  -4.4 1.58e+02    -  1.41e-03 1.29e-02h  1
  87  4.7401069e-03 1.27e+02 1.89e+03  -4.4 1.41e+02    -  7.04e-03 1.51e-03h  1
  88  4.7490816e-03 1.27e+02 1.69e+03  -4.4 1.41e+02    -  8.80e-03 6.87e-03h  1
  89  4.7562380e-03 1.26e+02 2.18e+03  -4.4 1.49e+02    -  1.74e-03 6.61e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  4.7623401e-03 1.26e+02 9.42e+02  -0.5 9.18e+01    -  2.56e-03 1.46e-03f  1
  91  4.7612109e-03 1.25e+02 1.31e+03  -4.4 6.13e+01    -  2.84e-03 4.53e-03h  1
  92  4.7643024e-03 1.25e+02 2.39e+03  -0.5 2.36e+02    -  2.24e-02 2.20e-03f  1
  93  4.7693391e-03 1.24e+02 2.81e+03  -0.5 1.72e+02    -  8.15e-03 3.44e-03f  1
  94  4.7742106e-03 1.23e+02 8.48e+03  -4.4 1.44e+02    -  7.71e-02 9.25e-03h  1
  95  4.7740480e-03 1.23e+02 1.66e+04  -0.4 2.25e+02    -  6.27e-02 3.70e-03f  1
  96  4.7801110e-03 1.20e+02 2.50e+04  -0.6 1.72e+02    -  1.42e-01 2.11e-02f  1
  97  4.7555416e-03 1.08e+02 2.31e+04  -0.7 1.87e+02    -  1.12e-01 1.01e-01f  1
  98  4.7536770e-03 9.92e+01 2.56e+04  -0.5 2.01e+02    -  1.55e-01 8.14e-02f  1
  99  4.7380339e-03 8.31e+01 2.52e+04  -0.6 1.94e+02    -  2.54e-01 1.63e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  4.7363912e-03 7.89e+01 2.98e+04  -0.7 1.78e+02    -  2.23e-01 5.03e-02h  1
 101  4.7822878e-03 7.44e+01 3.57e+04  -0.2 2.15e+02    -  3.95e-01 5.74e-02f  1
 102  4.7895539e-03 7.38e+01 3.82e+04  -1.0 1.28e+02    -  2.49e-01 8.00e-03h  1
 103  4.2234529e-03 6.26e+01 3.13e+04   0.4 2.68e+02    -  1.36e-01 1.55e-01f  1
 104  4.2752688e-03 5.14e+01 3.32e+04  -0.4 8.67e+01    -  8.04e-01 1.80e-01h  1
 105  4.5513067e-03 3.37e+01 2.42e+04  -1.0 1.38e+02    -  4.67e-01 3.50e-01h  1
 106  4.1042615e-03 2.11e+01 4.01e+04   0.2 8.35e+01    -  6.61e-01 3.75e-01f  1
 107  4.0747133e-03 9.09e+00 1.75e+04  -0.5 4.59e+01    -  5.85e-01 5.68e-01h  1
 108  3.8878744e-03 1.50e+00 1.03e+04  -0.2 1.33e+01    -  6.29e-01 8.38e-01h  1
 109  3.7996604e-03 1.01e+00 7.32e+03   0.3 3.44e+01    -  4.76e-01 3.39e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  3.8007925e-03 2.16e-01 1.01e+04  -0.3 1.72e+00    -  1.00e+00 7.86e-01h  1
 111  3.8103611e-03 4.01e-02 1.15e+04  -0.9 1.79e+00    -  1.00e+00 8.25e-01h  1
 112  3.7074277e-03 9.57e-02 5.37e+04  -0.5 1.85e+01    -  7.62e-01 2.14e-01f  1
 113  3.5401763e-03 1.51e-01 2.29e+04  -0.9 9.07e+00    -  1.00e+00 6.87e-01h  1
 114  3.4724735e-03 1.41e-01 5.93e+04  -1.1 8.81e+00    -  9.75e-01 3.29e-01h  1
 115  3.4638614e-03 3.82e-02 2.62e+04  -1.6 6.05e-01    -  1.00e+00 7.37e-01h  1
 116  3.4439956e-03 4.76e-03 4.12e+02  -1.4 8.01e-01    -  1.00e+00 1.00e+00h  1
 117  3.4451639e-03 3.64e-02 4.46e+03  -0.2 5.52e+01    -  1.58e-01 1.23e-01f  1
 118  3.4461756e-03 3.62e-02 2.04e+04  -0.9 8.09e+01    -  2.45e-01 7.26e-03h  5
 119  3.4464386e-03 3.61e-02 3.75e+04  -0.9 1.00e+02    -  3.27e-01 5.36e-03h  5
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  3.4481583e-03 3.54e-02 8.06e+04  -0.9 3.80e+01    -  9.92e-01 2.80e-02h  4
 121  3.4821256e-03 1.85e-02 9.70e+03  -0.9 1.10e+01    -  5.30e-01 7.13e-01H  1
 122  3.4832453e-03 5.16e-04 4.08e+03  -0.9 5.36e-01    -  1.00e+00 1.00e+00h  1
 123  3.4808745e-03 5.15e-04 1.77e+02  -1.3 1.62e-01    -  1.00e+00 1.00e+00h  1
 124  3.4702820e-03 5.19e-04 3.98e+04  -1.6 1.63e+00    -  1.00e+00 8.17e-01H  1
 125  3.3182081e-03 1.46e-01 2.02e+03  -1.2 1.26e+01    -  1.00e+00 1.00e+00f  1
 126  3.3752448e-03 8.45e-02 4.57e+04  -1.9 8.97e+00    -  1.00e+00 5.61e-01h  1
 127  3.4654535e-03 6.52e-02 3.27e+04  -2.4 8.85e+00    -  1.00e+00 7.84e-01h  1
 128  3.4361253e-03 1.64e-02 3.11e+04  -2.4 2.76e+00    -  1.00e+00 8.53e-01h  1
 129  3.4278349e-03 5.21e-04 4.18e+02  -2.4 7.89e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  3.4273667e-03 5.22e-04 3.73e+02  -2.2 5.34e-02    -  1.00e+00 1.00e+00f  1
 131  3.4274168e-03 5.22e-04 3.91e+04  -2.8 1.80e-01    -  9.81e-01 8.74e-01H  1
 132  3.4262767e-03 5.22e-04 1.17e+02  -2.9 7.31e-02    -  1.00e+00 1.00e+00H  1
 133  3.4262684e-03 5.22e-04 2.53e+03  -3.6 7.71e-03    -  1.00e+00 9.91e-01h  1
 134  3.4258550e-03 5.22e-04 8.60e+00  -3.4 2.59e-02    -  1.00e+00 1.00e+00f  1
 135  3.4257066e-03 5.22e-04 1.99e+03  -4.1 7.90e-03    -  1.00e+00 9.95e-01h  1
 136  3.4252869e-03 5.22e-04 1.57e+05  -4.3 2.49e-02    -  7.42e-01 1.00e+00h  1
 137  3.4251919e-03 5.22e-04 1.35e+05  -4.3 1.53e-02    -  4.26e-01 5.00e-01h  2
 138  3.4249955e-03 5.22e-04 3.59e+04  -4.3 1.60e-02    -  7.34e-01 7.34e-01s 22
 139  3.4248184e-03 5.22e-04 3.69e+01  -4.3 1.31e-02    -  1.00e+00 1.00e+00s 22
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140r 3.4248184e-03 5.22e-04 1.00e+03  -3.3 0.00e+00    -  0.00e+00 4.77e-07R 22
 141r 3.4244965e-03 7.19e-04 1.40e+03  -1.7 1.85e+00    -  1.54e-02 9.64e-03f  1
 142r 3.4243289e-03 7.39e-04 1.12e+03  -2.1 1.10e+00    -  2.01e-01 1.41e-02f  1
 143r 3.4248295e-03 8.09e-04 1.05e+03  -1.6 1.86e+01    -  6.28e-02 5.22e-03f  1
 144r 3.4328130e-03 1.52e-03 9.95e+02  -2.7 1.35e+01    -  5.63e-02 4.07e-02f  1
 145r 3.4317666e-03 1.87e-03 7.94e+02  -2.7 1.07e+01    -  2.74e-01 2.82e-02f  1
 146r 3.4115976e-03 4.94e-03 5.24e+02  -2.9 5.20e+00    -  3.78e-01 2.71e-01f  1
 147r 3.3889857e-03 9.89e-03 3.99e+02  -3.0 5.47e+00    -  2.72e-01 1.90e-01f  1
 148r 3.3800325e-03 8.43e-03 3.43e+02  -2.8 5.22e+00    -  2.38e-01 1.62e-01f  1
 149r 3.3756754e-03 6.17e-03 2.49e+02  -3.0 1.04e+00    -  2.40e-01 2.62e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150r 3.3707394e-03 2.64e-03 8.10e+01  -2.9 5.41e-01    -  6.52e-01 6.68e-01f  1
 151r 3.3585720e-03 2.67e-03 5.63e+01  -3.0 5.47e-01    -  6.42e-01 1.00e+00f  1
 152r 3.3604879e-03 2.64e-03 9.74e+00  -3.3 3.10e-01    -  8.50e-01 1.00e+00f  1
 153r 3.3483370e-03 2.63e-03 6.55e+00  -3.3 1.05e+00    -  7.50e-01 1.00e+00f  1
 154r 3.3394037e-03 3.68e-03 4.11e+00  -3.7 1.61e+00    -  1.00e+00 1.00e+00f  1
 155r 3.2864776e-03 1.95e-02 5.94e+00  -4.1 3.71e+00    -  1.00e+00 1.00e+00f  1
 156r 3.2488565e-03 2.25e-02 4.83e+00  -4.5 3.97e+00    -  1.00e+00 1.00e+00h  1
 157r 3.2255983e-03 1.20e-02 9.64e+00  -4.8 3.05e+00    -  1.00e+00 4.95e-01h  1
 158r 3.2042219e-03 1.33e-02 2.05e+01  -5.0 5.94e+00    -  1.00e+00 3.22e-01h  1
 159r 3.1765265e-03 1.18e-02 1.19e+02  -3.8 3.99e+00    -  7.97e-01 4.73e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160r 3.1547906e-03 1.29e-02 5.51e+00  -4.6 3.81e+00    -  1.00e+00 7.98e-01h  1
 161r 3.1324463e-03 6.14e-03 2.09e+01  -4.6 2.48e+00    -  1.00e+00 8.38e-01h  1
 162r 3.0974413e-03 4.07e-03 2.98e+00  -4.8 2.19e+00    -  1.00e+00 9.67e-01f  1
 163r 3.0364655e-03 4.90e-02 2.13e+00  -5.1 5.85e+00    -  1.00e+00 9.85e-01h  1
 164r 3.0335016e-03 2.35e-03 5.58e-01  -5.6 5.67e-01    -  1.00e+00 1.00e+00h  1
 165r 3.0160728e-03 2.33e-03 1.84e+00  -6.1 8.40e-01    -  1.00e+00 9.90e-01h  1
 166r 2.9748238e-03 6.91e-03 7.10e-01  -5.4 3.05e+00    -  1.00e+00 1.00e+00h  1
 167r 2.9864231e-03 2.88e-03 1.43e+00  -5.5 2.07e+00    -  1.00e+00 1.00e+00h  1
 168r 2.9366007e-03 3.53e-02 5.96e+02  -4.6 6.59e+01    -  6.17e-01 9.79e-02f  1
 169r 2.9459351e-03 3.19e-02 5.66e+01  -5.0 2.49e+00    -  6.03e-01 1.08e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170r 2.9976195e-03 1.05e-02 9.99e-01  -5.0 1.48e+00    -  1.00e+00 1.00e+00f  1
 171r 3.0095946e-03 2.65e-03 7.59e-01  -5.0 6.12e-01    -  1.00e+00 1.00e+00h  1
 172r 3.0277625e-03 4.52e-03 2.17e+01  -9.0 1.73e+00    -  6.38e-01 3.40e-01h  1
 173r 3.0448111e-03 2.18e-02 8.06e+01  -4.8 9.96e+00    -  1.00e+00 4.34e-01h  1
 174r 3.0683696e-03 2.05e-02 1.43e+01  -5.0 2.96e+00    -  1.00e+00 5.77e-01h  1
 175r 2.9814015e-03 6.64e-02 9.97e+00  -5.0 8.49e+00    -  5.43e-01 1.00e+00f  1
 176r 3.0275509e-03 3.95e-02 3.94e+01  -5.0 2.63e+00    -  5.42e-02 5.82e-01h  1
 177r 3.0318904e-03 3.87e-02 3.74e+01  -5.0 1.23e+02    -  1.87e-01 4.46e-02h  1
 178r 3.1190960e-03 4.38e-03 8.51e+00  -5.0 3.22e+00    -  2.54e-01 1.00e+00H  1
 179r 3.1386739e-03 7.73e-03 8.37e+00  -5.0 9.49e+01    -  8.59e-02 2.19e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180r 3.0769604e-03 3.34e-02 9.69e+00  -5.0 1.02e+01    -  5.38e-02 8.85e-01f  1
 181r 3.0861907e-03 3.22e-02 8.32e+00  -5.0 2.96e+01    -  1.45e-01 1.75e-01f  1
 182r 3.1191079e-03 2.97e-02 6.14e+00  -5.0 1.53e+01    -  3.86e-01 4.21e-01f  2
 183r 3.1244854e-03 3.37e-02 6.19e+00  -5.0 1.47e+02    -  1.63e-01 3.21e-02h  1
 184r 3.0196104e-03 5.60e-02 1.19e+01  -5.0 8.23e+00    -  1.34e-02 5.57e-01f  1
 185r 3.0381477e-03 4.96e-02 1.08e+01  -5.0 2.35e+01    -  6.68e-02 1.30e-01h  1
 186r 3.0404681e-03 4.62e-02 4.93e+02  -3.9 1.76e+01    -  7.18e-01 6.94e-02f  1
 187r 3.1099134e-03 4.89e-02 1.92e+02  -4.3 2.94e+01    -  3.73e-01 2.27e-01h  1
 188r 3.1554767e-03 2.19e-02 1.03e+01  -4.3 3.34e+00    -  1.65e-01 1.00e+00h  1
 189r 3.1752211e-03 1.17e-02 5.55e+00  -4.3 9.35e+00    -  6.97e-01 3.14e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190r 3.1631761e-03 1.82e-02 8.97e+00  -4.3 1.92e+01    -  1.27e-02 3.98e-01f  1
 191r 3.1741688e-03 1.66e-02 8.21e+00  -4.3 4.93e+01    -  2.45e-01 6.49e-02f  1
 192r 3.1760990e-03 2.22e-02 7.93e+00  -4.3 4.52e+01    -  1.75e-02 1.41e-01f  1
 193r 3.2232896e-03 2.49e-02 3.08e+01  -4.3 7.53e+00    -  4.36e-01 1.00e+00h  1
 194r 3.2219601e-03 2.49e-02 3.10e+01  -4.3 1.79e+02    -  3.31e-02 2.17e-03h  2
 195r 3.2200650e-03 2.02e-02 3.12e+01  -4.3 1.12e+01    -  1.00e+00 1.64e-01h  1
 196r 3.2249044e-03 1.44e-02 8.99e+00  -4.3 5.01e+00    -  4.85e-01 7.74e-01f  1
 197r 3.1139106e-03 4.64e-03 2.24e+01  -4.3 1.13e+01    -  1.79e-01 1.00e+00H  1
 198r 3.1134929e-03 6.14e-03 2.15e+01  -4.3 7.73e+01    -  3.15e-01 3.95e-02h  2
 199r 3.1403749e-03 4.13e-03 1.56e+01  -4.3 7.61e+00    -  1.00e+00 3.30e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 200r 3.1469614e-03 3.45e-03 1.27e+01  -4.3 1.13e+01    -  4.97e-01 9.90e-02h  1
 201r 3.1444970e-03 3.46e-03 1.30e+01  -4.3 7.14e+02    -  5.52e-02 7.02e-04h  6
 202r 3.5039678e-03 2.06e-03 1.91e+01  -4.3 5.32e+01    -  2.34e-01 1.00e+00H  1
 203r 3.5034886e-03 2.06e-03 1.91e+01  -4.3 3.60e+02    -  1.21e-02 4.88e-04h  2
 204r 3.4859258e-03 5.62e-03 1.57e+01  -4.3 5.30e+01    -  1.15e-02 5.56e-02f  1
 205r 3.4712263e-03 6.28e-03 1.50e+01  -4.3 1.33e+01    -  4.64e-02 4.32e-02h  1
 206r 3.4702925e-03 6.17e-03 1.50e+01  -4.3 2.25e+02    -  1.01e-01 6.03e-03h  1
 207r 3.4853001e-03 7.89e-02 9.60e+00  -4.3 7.83e+00    -  3.44e-01 4.77e-01f  1
 208r 3.4836369e-03 7.47e-02 9.11e+00  -4.3 2.70e+00    -  2.01e-01 5.29e-02h  1
 209r 3.4713138e-03 6.09e-02 8.76e+00  -4.3 3.68e+00    -  6.39e-01 1.62e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 210r 3.4689896e-03 2.58e-02 4.14e+00  -4.3 2.96e+00    -  5.09e-01 5.38e-01f  1
 211r 3.4621494e-03 8.47e-03 4.53e+00  -4.3 8.01e-01    -  1.00e+00 6.69e-01f  1
 212r 3.4226152e-03 4.65e-03 1.49e+00  -4.3 1.55e+00    -  1.00e+00 1.00e+00f  1
 213r 3.4202521e-03 2.34e-03 2.25e-01  -4.3 4.96e-01    -  1.00e+00 1.00e+00h  1
 214r 3.4241395e-03 2.36e-03 1.82e-01  -5.1 8.33e-01    -  1.00e+00 9.77e-01f  1
