This is Ipopt version 3.14.16, running with linear solver MUMPS 5.6.2.

Number of nonzeros in equality constraint Jacobian...:     1567
Number of nonzeros in inequality constraint Jacobian.:     6735
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     1268
                     variables with only lower bounds:        0
                variables with lower and upper bounds:     1266
                     variables with only upper bounds:        0
Total number of equality constraints.................:      704
Total number of inequality constraints...............:      648
        inequality constraints with only lower bounds:       51
   inequality constraints with lower and upper bounds:      597
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  5.0607841e-03 2.12e+02 1.00e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  5.0605877e-03 2.12e+02 1.00e+00  -4.2 5.94e+01    -  3.48e-05 3.67e-05h  1
   2  5.0586404e-03 2.12e+02 1.14e+00  -4.2 9.28e+01    -  6.74e-05 1.26e-03h  1
   3  5.0560939e-03 2.11e+02 1.68e+00  -4.2 9.26e+01    -  1.11e-03 1.66e-03h  1
   4  5.0523789e-03 2.11e+02 2.92e+00  -4.2 9.61e+01    -  6.63e-04 2.20e-03h  1
   5  5.0479539e-03 2.10e+02 3.26e+00  -4.2 1.03e+02    -  1.70e-03 2.47e-03h  1
   6  5.0406153e-03 2.09e+02 4.75e+00  -4.2 1.03e+02    -  1.72e-03 3.95e-03h  1
   7  5.0301489e-03 2.08e+02 8.62e+00  -4.2 1.01e+02    -  1.00e-03 5.67e-03h  1
   8  5.0211664e-03 2.07e+02 1.02e+01  -4.2 1.01e+02    -  2.95e-03 4.87e-03h  1
   9  5.0082898e-03 2.06e+02 1.32e+01  -4.2 1.00e+02    -  2.93e-03 6.70e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  4.9886512e-03 2.04e+02 1.65e+01  -4.2 9.97e+01    -  6.17e-03 1.03e-02h  1
  11  4.9641482e-03 2.01e+02 2.20e+01  -4.2 9.87e+01    -  6.10e-03 1.32e-02h  1
  12  4.9443071e-03 1.99e+02 2.36e+01  -4.2 9.71e+01    -  8.91e-03 1.12e-02h  1
