This is Ipopt version 3.14.16, running with linear solver MUMPS 5.6.2.

Number of nonzeros in equality constraint Jacobian...:     1567
Number of nonzeros in inequality constraint Jacobian.:     6735
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     1268
                     variables with only lower bounds:        0
                variables with lower and upper bounds:     1266
                     variables with only upper bounds:        0
Total number of equality constraints.................:      704
Total number of inequality constraints...............:      648
        inequality constraints with only lower bounds:       51
   inequality constraints with lower and upper bounds:      597
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  1.8656887e-02 2.27e+02 1.00e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.8653928e-02 2.27e+02 3.78e+00  -4.2 4.54e+01    -  4.06e-05 1.93e-04h  1
   2  1.8630204e-02 2.26e+02 4.71e+00  -4.2 9.10e+01    -  2.07e-04 1.81e-03h  1
   3  1.8608712e-02 2.26e+02 4.70e+00  -4.2 1.05e+02    -  1.44e-03 1.44e-03h  1
   4  1.8573284e-02 2.25e+02 5.64e+00  -4.2 1.16e+02    -  1.14e-03 2.14e-03h  1
   5  1.8504105e-02 2.24e+02 7.84e+00  -4.2 1.17e+02    -  1.79e-03 4.15e-03h  1
   6  1.8401398e-02 2.23e+02 1.02e+01  -4.2 1.17e+02    -  3.48e-03 6.06e-03h  1
   7  1.8312409e-02 2.22e+02 1.16e+01  -4.2 1.19e+02    -  3.59e-03 5.11e-03h  1
   8  1.8194808e-02 2.20e+02 1.59e+01  -4.2 1.20e+02    -  1.81e-03 6.69e-03h  1
   9  1.8072979e-02 2.19e+02 1.84e+01  -4.2 1.20e+02    -  3.87e-03 6.89e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  1.8017374e-02 2.18e+02 2.00e+01  -4.2 1.19e+02    -  1.31e-03 3.11e-03h  1
  11  1.7897177e-02 2.17e+02 2.36e+01  -4.2 1.18e+02    -  2.42e-03 6.71e-03h  1
  12  1.7788390e-02 2.15e+02 2.21e+01  -4.2 1.18e+02    -  7.75e-03 6.14e-03h  1
  13  1.7604787e-02 2.13e+02 2.68e+01  -4.3 1.18e+02    -  4.39e-03 1.03e-02h  1
  14  1.7499555e-02 2.12e+02 2.96e+01  -4.3 1.19e+02    -  2.45e-03 5.94e-03h  1
  15  1.7435427e-02 2.11e+02 2.78e+01  -4.3 1.21e+02    -  5.72e-03 3.66e-03h  1
  16  1.7382586e-02 2.10e+02 2.89e+01  -4.3 1.25e+02    -  1.59e-03 3.10e-03h  1
  17  1.7310930e-02 2.10e+02 3.12e+01  -4.3 1.20e+02    -  1.07e-03 4.06e-03h  1
  18  1.7181102e-02 2.08e+02 3.13e+01  -4.3 1.20e+02    -  7.06e-03 7.39e-03h  1
  19  1.7067786e-02 2.07e+02 3.26e+01  -4.3 1.19e+02    -  4.51e-03 6.47e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  1.7028592e-02 2.06e+02 2.99e+01  -4.3 1.19e+02    -  5.69e-03 2.25e-03h  1
  21  1.6846957e-02 2.04e+02 3.72e+01  -4.3 1.19e+02    -  3.03e-04 1.04e-02h  1
  22  1.6781127e-02 2.03e+02 3.32e+01  -4.3 1.18e+02    -  9.06e-03 3.80e-03h  1
  23  1.6530699e-02 2.00e+02 3.71e+01  -4.3 1.16e+02    -  8.12e-03 1.42e-02h  1
  24  1.6339912e-02 1.98e+02 3.06e+01  -4.3 1.13e+02    -  1.95e-02 1.08e-02h  1
  25  1.6227844e-02 1.97e+02 1.70e+01  -4.3 1.11e+02    -  3.54e-02 6.36e-03h  1
  26  1.5815131e-02 1.92e+02 1.56e+01  -4.3 1.09e+02    -  2.12e-02 2.33e-02h  1
  27  1.5541986e-02 1.89e+02 3.01e+01  -4.3 1.06e+02    -  5.07e-02 1.59e-02h  1
  28  1.5251479e-02 1.86e+02 2.43e+01  -4.3 1.03e+02    -  9.23e-04 1.70e-02h  1
  29  1.4924280e-02 1.82e+02 2.75e+01  -4.3 1.02e+02    -  3.42e-02 1.98e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  1.4470572e-02 1.77e+02 2.31e+01  -4.3 9.91e+01    -  1.25e-02 2.80e-02h  1
  31  1.4228152e-02 1.75e+02 1.93e+01  -4.3 9.54e+01    -  2.14e-03 1.56e-02h  1
  32  1.4096544e-02 1.73e+02 1.73e+01  -4.4 9.34e+01    -  2.72e-03 8.62e-03h  1
  33  1.4078335e-02 1.73e+02 3.20e+01  -4.4 9.36e+01    -  4.51e-02 1.21e-03h  1
  34  1.3881680e-02 1.71e+02 3.73e+01  -4.4 9.39e+01    -  3.96e-02 1.30e-02h  1
  35  1.3851037e-02 1.70e+02 3.81e+01  -4.4 9.25e+01    -  6.63e-03 2.00e-03h  1
  36  1.3386561e-02 1.65e+02 4.78e+01  -4.4 9.26e+01    -  6.24e-02 3.11e-02h  1
  37  1.3376133e-02 1.65e+02 5.60e+01  -4.4 8.91e+01    -  2.38e-02 7.14e-04h  1
  38  1.3253439e-02 1.63e+02 5.41e+01  -4.4 8.97e+01    -  2.66e-03 8.67e-03h  1
  39  1.3111579e-02 1.62e+02 5.53e+01  -4.4 8.92e+01    -  5.13e-03 1.02e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  1.2596100e-02 1.56e+02 8.25e+01  -4.4 8.85e+01    -  2.65e-02 3.79e-02h  1
  41  1.2382530e-02 1.53e+02 1.01e+02  -4.4 8.57e+01    -  6.88e-04 1.64e-02h  1
  42  1.2202664e-02 1.51e+02 9.66e+01  -4.4 8.48e+01    -  1.99e-02 1.40e-02h  1
  43  1.1908336e-02 1.47e+02 9.79e+01  -4.5 8.33e+01    -  1.65e-02 2.33e-02h  1
