This is Ipopt version 3.14.16, running with linear solver MUMPS 5.6.2.

Number of nonzeros in equality constraint Jacobian...:     1567
Number of nonzeros in inequality constraint Jacobian.:     6735
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     1268
                     variables with only lower bounds:        0
                variables with lower and upper bounds:     1266
                     variables with only upper bounds:        0
Total number of equality constraints.................:      704
Total number of inequality constraints...............:      648
        inequality constraints with only lower bounds:       51
   inequality constraints with lower and upper bounds:      597
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  44  1.1749892e-02 1.45e+02 9.55e+01  -4.5 8.12e+01    -  1.49e-02 1.30e-02h  1
  45  1.1740166e-02 1.45e+02 9.06e+01  -4.5 7.96e+01    -  3.22e-03 8.47e-04h  1
  46  1.1554935e-02 1.43e+02 1.08e+02  -4.5 7.97e+01    -  8.11e-03 1.62e-02h  1
  47  1.0692345e-02 1.32e+02 1.07e+02  -4.5 7.99e+01    -  1.75e-03 7.81e-02h  1
  48  1.0403013e-02 1.28e+02 1.04e+02  -4.5 7.21e+01    -  3.78e-02 2.98e-02h  1
  49  1.0338693e-02 1.27e+02 1.03e+02  -4.5 7.04e+01    -  1.43e-04 7.61e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  1.0315057e-02 1.27e+02 1.03e+02  -4.5 6.92e+01    -  1.36e-02 2.47e-03h  1
  51  1.0271093e-02 1.26e+02 1.03e+02  -4.5 6.84e+01    -  8.72e-04 4.64e-03h  1
  52  1.0268876e-02 1.26e+02 1.03e+02  -4.5 6.79e+01    -  4.75e-03 2.44e-04h  1
  53  1.0226332e-02 1.25e+02 1.02e+02  -4.5 6.86e+01    -  1.55e-03 5.22e-03h  1
  54  1.0225048e-02 1.25e+02 1.02e+02  -4.5 5.88e+01    -  9.55e-04 1.15e-04h  1
  55  1.0205154e-02 1.25e+02 1.02e+02  -0.6 7.96e+02    -  4.48e-04 1.53e-04f  1
  56  1.0202518e-02 1.25e+02 1.02e+02  -4.5 6.82e+01    -  6.84e-03 3.36e-04h  1
  57  1.0108689e-02 1.24e+02 1.01e+02  -4.5 6.96e+01    -  1.11e-03 1.24e-02h  1
  58  1.0024745e-02 1.22e+02 1.00e+02  -4.5 6.79e+01    -  3.61e-03 1.14e-02h  1
  59  9.9877554e-03 1.22e+02 9.95e+01  -4.5 6.73e+01    -  2.74e-02 4.75e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  9.6796840e-03 1.17e+02 9.61e+01  -4.5 6.60e+01    -  1.23e-02 3.59e-02h  1
  61  9.6682340e-03 1.17e+02 9.59e+01  -4.5 6.14e+01    -  1.91e-02 1.45e-03h  1
  62  9.5770117e-03 1.16e+02 9.48e+01  -4.5 6.12e+01    -  3.53e-03 1.13e-02h  1
  63  9.5387656e-03 1.15e+02 9.44e+01  -4.5 5.96e+01    -  1.12e-02 4.86e-03h  1
  64  9.2628219e-03 1.11e+02 9.12e+01  -4.5 6.00e+01    -  8.47e-04 3.46e-02h  1
  65  9.2496501e-03 1.11e+02 1.25e+02  -4.5 5.55e+01    -  2.98e-02 1.76e-03h  1
  66  8.8850422e-03 1.06e+02 8.66e+01  -4.6 5.54e+01    -  9.66e-03 4.87e-02h  1
  67  8.7898544e-03 1.04e+02 8.55e+01  -4.6 5.13e+01    -  1.30e-03 1.35e-02h  1
  68  8.7867786e-03 1.04e+02 8.54e+01  -4.6 4.90e+01    -  1.46e-02 4.58e-04h  1
  69  8.7031218e-03 1.03e+02 8.44e+01  -4.6 4.86e+01    -  7.91e-03 1.25e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  8.6169603e-03 1.02e+02 8.33e+01  -4.6 4.72e+01    -  1.10e-02 1.30e-02h  1
  71  8.5519450e-03 1.01e+02 8.25e+01  -4.6 4.72e+01    -  6.21e-03 9.54e-03h  1
  72  8.4828455e-03 9.96e+01 8.17e+01  -4.6 4.78e+01    -  8.51e-04 9.94e-03h  1
  73  8.4730833e-03 9.95e+01 8.16e+01  -4.6 4.58e+01    -  4.46e-03 1.34e-03h  1
  74  8.4288701e-03 9.90e+01 8.56e+01  -4.6 4.51e+01    -  1.98e-05 4.91e-03h  1
  75  8.4282068e-03 9.90e+01 8.64e+01  -4.6 4.80e+01    -  7.71e-03 9.37e-05h  1
  76  8.3054445e-03 9.74e+01 8.55e+01  -4.6 5.04e+01    -  2.00e-02 1.61e-02h  1
  77  8.3057756e-03 9.74e+01 8.43e+01  -0.7 1.86e+02    -  1.23e-03 3.56e-04f  1
  78  8.2678964e-03 9.69e+01 8.73e+01  -4.6 4.89e+01    -  2.47e-02 4.69e-03h  1
  79  8.2627197e-03 9.68e+01 8.74e+01  -4.6 4.67e+01    -  1.57e-03 6.78e-04h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  8.0947016e-03 9.47e+01 9.21e+01  -4.6 4.71e+01    -  3.32e-03 2.25e-02h  1
  81  7.7223554e-03 8.97e+01 8.12e+01  -4.6 4.59e+01    -  1.17e-03 5.22e-02h  1
  82  7.6906218e-03 8.93e+01 8.79e+01  -4.6 4.31e+01    -  1.15e-02 4.42e-03h  1
  83  7.5542424e-03 8.76e+01 7.99e+01  -4.6 4.40e+01    -  1.66e-04 1.87e-02h  1
  84  7.4997956e-03 8.70e+01 7.89e+01  -4.6 4.39e+01    -  1.44e-02 7.65e-03h  1
  85  7.4885139e-03 8.68e+01 7.88e+01  -0.7 2.97e+02    -  1.80e-03 1.52e-03f  1
  86  7.2693816e-03 8.40e+01 7.65e+01  -4.6 4.29e+01    -  3.04e-02 3.27e-02h  1
  87  6.9748308e-03 8.01e+01 7.32e+01  -4.6 4.14e+01    -  4.44e-02 4.67e-02h  1
  88  6.9030803e-03 7.91e+01 7.72e+01  -4.6 3.98e+01    -  4.02e-03 1.23e-02h  1
  89  6.8548694e-03 7.84e+01 9.17e+01  -4.6 4.12e+01    -  5.58e-02 8.26e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  6.8538174e-03 7.84e+01 1.23e+02  -0.8 1.42e+02    -  2.91e-03 1.49e-04f  1
  91  6.8499998e-03 7.84e+01 1.31e+02  -4.7 4.14e+01    -  2.64e-02 6.75e-04h  1
  92  6.7884641e-03 7.75e+01 1.45e+02  -4.7 4.04e+01    -  1.02e-03 1.10e-02h  1
  93  6.7203767e-03 7.65e+01 1.34e+02  -4.7 3.94e+01    -  1.65e-02 1.25e-02h  1
  94  6.4864044e-03 7.31e+01 1.72e+02  -4.7 3.85e+01    -  2.35e-02 4.48e-02h  1
  95  6.3861308e-03 7.16e+01 1.40e+02  -4.7 3.84e+01    -  4.85e-02 2.04e-02h  1
  96  6.1744218e-03 6.84e+01 1.19e+02  -4.7 3.92e+01    -  1.20e-02 4.50e-02h  1
  97  6.1514802e-03 6.81e+01 1.18e+02  -4.7 4.16e+01    -  5.85e-03 4.89e-03h  1
  98  6.1454593e-03 6.80e+01 1.59e+02  -0.8 4.70e+01    -  6.57e-03 9.67e-04f  1
  99  6.1095658e-03 6.75e+01 1.59e+02  -4.7 4.44e+01    -  9.88e-03 7.65e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  6.0786314e-03 6.70e+01 2.61e+02  -4.7 4.75e+01    -  1.77e-02 6.39e-03h  1
 101  6.0296918e-03 6.64e+01 2.58e+02  -4.7 6.44e+01    -  9.80e-03 9.81e-03h  1
 102  5.9492626e-03 6.53e+01 2.74e+02  -4.8 7.10e+01    -  1.69e-02 1.59e-02h  1
 103  5.8545692e-03 6.41e+01 2.66e+02  -4.8 7.34e+01    -  1.91e-02 1.92e-02h  1
 104  5.8425562e-03 6.40e+01 9.41e+02  -0.9 3.97e+01    -  3.00e-03 1.81e-03f  1
 105  5.7678699e-03 6.29e+01 9.91e+02  -4.8 6.03e+01    -  1.88e-02 1.62e-02h  1
 106  5.6619991e-03 6.14e+01 6.84e+02  -4.8 7.80e+01    -  2.37e-03 2.38e-02h  1
 107  5.6570237e-03 6.14e+01 1.60e+03  -4.8 1.24e+02    -  5.38e-02 1.09e-03h  1
 108  5.5311106e-03 5.97e+01 1.63e+03  -4.8 1.44e+02    -  3.21e-02 2.78e-02h  1
 109  5.4871943e-03 5.91e+01 1.85e+03  -4.8 1.49e+02    -  2.48e-02 9.30e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  5.3920498e-03 5.79e+01 1.92e+03  -4.8 1.55e+02    -  2.75e-02 2.02e-02h  1
 111  5.3792573e-03 5.78e+01 2.20e+03  -4.8 2.13e+02    -  2.46e-02 2.42e-03h  1
 112  5.3536041e-03 5.74e+01 2.16e+03  -4.9 2.47e+02    -  4.39e-03 5.78e-03h  1
 113  5.3277591e-03 5.71e+01 2.22e+03  -4.9 2.84e+02    -  7.27e-03 5.46e-03h  1
 114  5.3205234e-03 5.70e+01 2.21e+03  -1.0 3.53e+02    -  1.67e-03 1.69e-03f  1
 115  5.2778904e-03 5.65e+01 1.94e+03  -4.9 3.33e+02    -  5.20e-03 9.36e-03h  1
 116  5.2380225e-03 5.59e+01 1.38e+03  -4.9 3.94e+02    -  4.22e-03 9.85e-03h  1
 117  5.2366816e-03 5.59e+01 2.25e+03  -4.9 4.46e+02    -  9.09e-03 1.38e-03h  1
 118  5.2363676e-03 5.58e+01 3.07e+03  -4.9 4.33e+02    -  5.81e-03 1.02e-03h  1
 119  5.2349278e-03 5.53e+01 1.96e+03  -4.9 4.39e+02    -  2.07e-03 8.55e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  5.2354515e-03 5.52e+01 1.98e+03  -1.0 5.39e+02    -  3.54e-03 3.36e-03f  1
 121  5.2238427e-03 5.38e+01 7.79e+02  -1.0 4.05e+02    -  1.35e-02 2.45e-02f  1
 122  5.2208670e-03 5.35e+01 7.17e+02  -4.9 3.32e+02    -  4.34e-03 5.03e-03h  1
 123  5.1987055e-03 5.32e+01 1.32e+03  -0.6 3.29e+02    -  1.93e-02 5.42e-03f  1
 124  5.2207294e-03 5.30e+01 3.40e+03   0.2 6.32e+02    -  1.82e-02 5.57e-03f  1
 125  5.2017919e-03 5.20e+01 4.51e+03  -4.9 2.17e+02    -  4.00e-02 1.88e-02h  1
 126  5.1955086e-03 5.15e+01 4.38e+03  -0.4 4.52e+02    -  8.75e-03 9.21e-03f  1
 127  5.1690559e-03 5.02e+01 2.79e+03   0.2 7.47e+02    -  1.52e-02 2.44e-02f  1
 128  5.0311140e-03 4.84e+01 5.21e+04   0.6 2.59e+01    -  1.96e-01 3.62e-02f  1
 129  4.6249700e-03 4.16e+01 9.78e+04   0.7 2.38e+01    -  4.56e-01 1.41e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  3.5365534e-03 1.73e+01 6.80e+04   0.9 2.14e+01    -  9.08e-01 5.86e-01f  1
 131  3.5677329e-03 1.36e+01 4.60e+04   0.9 1.72e+01    -  2.55e-01 2.13e-01f  1
 132  3.5680995e-03 1.26e+01 6.81e+04   0.1 1.23e+01    -  4.43e-01 7.25e-02h  1
 133  3.5341907e-03 5.56e+00 2.93e+04   0.2 1.14e+01    -  5.54e-01 5.60e-01h  1
 134  3.5251047e-03 2.45e+00 1.08e+04   0.4 1.07e+01    -  5.02e-01 5.58e-01h  1
 135  3.6091728e-03 1.97e+00 1.68e+04   0.4 1.51e+02    -  3.53e-01 2.05e-01h  1
 136  3.6905562e-03 1.80e+00 1.80e+04   0.8 3.24e+02    -  1.51e-01 9.19e-02f  1
 137  3.7309995e-03 1.62e+00 2.55e+04   1.2 5.82e+02    -  2.51e-01 1.38e-01f  1
 138  2.7129217e-03 8.15e+00 3.97e+04   1.8 5.35e+02    -  3.24e-01 9.06e-02f  1
 139  3.0917164e-03 5.43e+00 2.17e+04   1.0 7.06e+01    -  1.00e+00 3.92e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140  3.8784544e-03 5.07e+00 1.18e+04   0.8 3.74e+01    -  1.00e+00 9.36e-01h  1
 141  4.6958161e-03 3.33e+00 1.57e+04   0.6 4.11e+01    -  1.00e+00 7.18e-01h  1
 142  4.3028453e-03 2.54e+00 2.77e+04   0.8 5.86e+01    -  1.00e+00 6.04e-01f  1
 143  4.3268077e-03 1.82e-01 2.91e+03   0.5 2.69e+01    -  1.00e+00 1.00e+00h  1
 144  4.4412983e-03 2.37e-01 2.64e+03   0.4 1.09e+01    -  1.00e+00 9.66e-01h  1
 145  4.4613814e-03 1.53e-03 7.31e+02   0.3 1.16e+00    -  1.00e+00 1.00e+00h  1
 146  4.5216539e-03 1.80e-03 1.14e+04  -0.1 1.03e+00    -  7.14e-01 7.83e-01H  1
 147  4.5361404e-03 2.25e-03 6.07e+04  -0.4 1.25e+00    -  1.00e+00 2.10e-01h  3
 148  4.5441436e-03 2.27e-03 8.24e+04  -0.5 1.05e+00    -  1.00e+00 1.13e-01h  4
 149  4.5526740e-03 2.32e-03 8.19e+04  -0.8 1.05e+00    -  1.00e+00 1.16e-01h  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  4.5613847e-03 2.43e-03 1.00e+05  -1.0 1.14e+00    -  1.00e+00 1.13e-01h  4
 151  4.5702714e-03 2.56e-03 1.14e+05  -1.3 1.21e+00    -  1.00e+00 1.12e-01h  4
 152  4.6109084e-03 7.06e-04 6.67e+04  -1.5 1.28e+00    -  4.52e-01 4.35e-01H  1
 153  4.6201620e-03 7.05e-04 1.44e+05  -1.3 1.55e+00    -  1.00e+00 1.02e-01h  3
 154  4.6274262e-03 7.04e-04 1.34e+05  -1.8 1.78e+00    -  1.00e+00 8.89e-02h  4
 155  4.6314843e-03 7.03e-04 1.90e+05  -1.8 2.05e+00    -  1.00e+00 4.98e-02h  5
 156  4.6339156e-03 7.03e-04 1.68e+05  -1.6 2.03e+00    -  1.00e+00 3.05e-02h  6
 157  4.6363206e-03 7.03e-04 1.68e+05  -1.8 2.08e+00    -  1.00e+00 3.01e-02h  6
 158  4.6386683e-03 7.02e-04 1.92e+05  -1.7 2.16e+00    -  1.00e+00 2.91e-02h  6
 159  4.6411592e-03 7.02e-04 1.81e+05  -1.9 2.16e+00    -  1.00e+00 3.09e-02h  6
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160  4.6436050e-03 7.02e-04 1.99e+05  -1.6 2.23e+00    -  1.00e+00 3.00e-02h  6
 161  4.6461288e-03 7.02e-04 1.70e+05  -1.9 2.20e+00    -  1.00e+00 3.12e-02h  6
 162  4.6485540e-03 7.02e-04 2.03e+05  -1.6 2.30e+00    -  1.00e+00 2.95e-02h  6
 163  4.6510951e-03 7.01e-04 1.67e+05  -2.0 2.25e+00    -  1.00e+00 3.12e-02h  6
 164  4.6535922e-03 7.01e-04 2.11e+05  -1.3 2.36e+00    -  1.00e+00 3.00e-02h  6
 165  4.6561340e-03 7.01e-04 1.46e+05  -1.8 2.27e+00    -  1.00e+00 3.12e-02h  6
 166  4.6586538e-03 7.01e-04 1.92e+05  -1.3 2.38e+00    -  1.00e+00 3.03e-02h  6
 167  4.6612185e-03 7.01e-04 1.42e+05  -1.8 2.31e+00    -  1.00e+00 3.12e-02h  6
 168  4.6636844e-03 7.01e-04 1.72e+05  -1.6 2.41e+00    -  1.00e+00 2.96e-02h  6
 169  4.6662204e-03 7.01e-04 1.72e+05  -2.1 2.43e+00    -  1.00e+00 3.02e-02h  6
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170  4.6687409e-03 7.00e-04 2.28e+05  -1.4 2.58e+00    -  1.00e+00 2.92e-02h  6
 171  4.6713620e-03 7.00e-04 1.53e+05  -1.9 2.46e+00    -  1.00e+00 3.12e-02h  6
 172  4.6738234e-03 7.00e-04 1.83e+05  -1.7 2.54e+00    -  1.00e+00 2.87e-02h  6
 173  4.6765037e-03 7.00e-04 1.82e+05  -1.6 2.58e+00    -  1.00e+00 3.12e-02h  6
 174  4.6791839e-03 7.00e-04 1.64e+05  -1.5 2.56e+00    -  1.00e+00 3.12e-02h  6
 175  4.6818771e-03 7.00e-04 1.64e+05  -1.5 2.60e+00    -  1.00e+00 3.12e-02h  6
 176  4.6845295e-03 7.00e-04 1.64e+05  -2.0 2.63e+00    -  1.00e+00 3.05e-02h  6
 177  4.6868850e-03 7.00e-04 1.89e+05  -1.8 2.71e+00    -  1.00e+00 2.67e-02h  6
 178  4.6882674e-03 7.00e-04 1.92e+05  -1.7 2.75e+00    -  1.00e+00 1.56e-02h  7
 179  4.6896180e-03 7.00e-04 1.81e+05  -2.3 2.74e+00    -  1.00e+00 1.53e-02h  7
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180  4.7380841e-03 7.16e-04 3.88e+04  -1.9 2.94e+00    -  2.63e-01 4.65e-01H  1
 181  4.7483928e-03 8.37e-04 1.95e+05  -1.6 3.66e+00    -  1.00e+00 9.10e-02h  4
 182  4.7517403e-03 8.27e-04 1.69e+05  -1.9 3.66e+00    -  1.00e+00 2.91e-02h  6
 183  4.7535001e-03 8.19e-04 1.92e+05  -1.9 3.80e+00    -  6.80e-01 1.50e-02h  7
 184  4.7552037e-03 8.10e-04 2.05e+05  -2.2 3.82e+00    -  1.00e+00 1.45e-02h  7
 185  4.7568883e-03 8.03e-04 2.50e+05  -1.7 3.94e+00    -  1.00e+00 1.37e-02h  6
 186  4.7587192e-03 7.94e-04 1.84e+05  -1.8 3.81e+00    -  1.00e+00 1.56e-02h  7
 187  4.7605692e-03 7.86e-04 1.92e+05  -1.8 3.85e+00    -  1.00e+00 1.56e-02h  7
 188  4.7623970e-03 7.78e-04 1.98e+05  -2.0 3.88e+00    -  1.00e+00 1.53e-02h  7
 189  4.7648670e-03 7.70e-04 2.21e+05  -1.6 3.98e+00    -  1.00e+00 2.04e-02h  6
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190  4.7667308e-03 7.62e-04 1.82e+05  -1.6 3.88e+00    -  9.07e-01 1.56e-02h  7
 191  4.7686059e-03 7.54e-04 1.78e+05  -1.6 3.90e+00    -  1.00e+00 1.56e-02h  7
 192  4.7704902e-03 7.46e-04 1.78e+05  -1.7 3.92e+00    -  1.00e+00 1.56e-02h  7
 193  4.7723878e-03 7.38e-04 1.86e+05  -1.7 3.97e+00    -  1.00e+00 1.56e-02h  7
 194  4.7742888e-03 7.31e-04 1.86e+05  -1.4 3.99e+00    -  1.00e+00 1.56e-02h  7
 195  4.7761846e-03 7.23e-04 1.61e+05  -1.5 3.93e+00    -  1.00e+00 1.56e-02h  7
 196  4.7780936e-03 7.16e-04 1.61e+05  -1.6 3.94e+00    -  1.00e+00 1.56e-02h  7
 197  4.7800223e-03 7.08e-04 1.81e+05  -1.7 4.03e+00    -  1.00e+00 1.56e-02h  7
 198  4.7819508e-03 7.04e-04 1.81e+05  -1.3 4.05e+00    -  1.00e+00 1.56e-02h  7
 199  4.7838795e-03 7.04e-04 1.58e+05  -1.4 3.99e+00    -  1.00e+00 1.56e-02h  7
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 200  4.7858183e-03 7.04e-04 1.58e+05  -1.4 4.01e+00    -  1.00e+00 1.56e-02h  7
 201  4.7877660e-03 7.05e-04 1.58e+05  -1.4 4.03e+00    -  1.00e+00 1.56e-02h  7
 202  4.7897249e-03 7.05e-04 1.58e+05  -1.6 4.05e+00    -  1.00e+00 1.56e-02h  7
 203  4.7917028e-03 7.05e-04 1.78e+05  -1.6 4.14e+00    -  1.00e+00 1.56e-02h  7
 204  4.7936886e-03 7.05e-04 1.77e+05  -1.6 4.16e+00    -  7.76e-01 1.56e-02h  7
 205  4.7956848e-03 7.05e-04 1.78e+05  -1.6 4.19e+00    -  1.00e+00 1.56e-02h  7
 206  4.7976895e-03 7.05e-04 1.77e+05  -1.6 4.20e+00    -  7.82e-01 1.56e-02h  7
 207  4.7986969e-03 7.05e-04 1.79e+05  -1.6 4.23e+00    -  1.00e+00 7.81e-03h  8
 208  4.8148587e-03 1.42e-03 1.58e+05  -1.3 4.24e+00    -  1.00e+00 1.25e-01f  4
 209  4.8169436e-03 1.42e-03 1.57e+05  -1.4 4.33e+00    -  1.00e+00 1.56e-02h  7
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 210  4.8190384e-03 1.42e-03 1.57e+05  -1.4 4.35e+00    -  1.00e+00 1.56e-02h  7
 211  4.8211431e-03 1.41e-03 1.57e+05  -1.4 4.37e+00    -  1.00e+00 1.56e-02h  7
 212  4.8232572e-03 1.41e-03 1.57e+05  -1.4 4.39e+00    -  1.00e+00 1.56e-02h  7
 213  4.8253813e-03 1.40e-03 1.57e+05  -1.4 4.41e+00    -  1.00e+00 1.56e-02h  7
 214  4.8275149e-03 1.40e-03 1.57e+05  -1.4 4.43e+00    -  1.00e+00 1.56e-02h  7
 215  4.8296588e-03 1.40e-03 1.57e+05  -1.4 4.44e+00    -  1.00e+00 1.56e-02h  7
 216  4.8318124e-03 1.39e-03 1.57e+05  -1.4 4.47e+00    -  1.00e+00 1.56e-02h  7
